Taxa.name,Class,Order,Motile,Heterotrophic,Mixotrophic,Autotrophic,Small.Large,Filament,Colonial,Geometrical.shape.of.the.cell,Centric,aerotopes,size,genus,species,Gelatinous
Actinastrum gracillimum,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Actinastrum,gracillimum,1
Actinastrum hantzschii,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Actinastrum,hantzschii,1
Actinotaenium cruciferum,Zygnematophyceae,Zygnematales,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Actinotaenium,cruciferum,1
Actinotaenium sp.,Zygnematophyceae,Zygnematales,0,NA,NA,NA,Microphytoplancton,0,0,ell,NA,0,large,Actinotaenium,,1
Amphidinium sp.,Dinophyceae,Gymnodiniales,1,0,1,0,Nanophytoplancton,0,0,ell,NA,0,small,Amphidinium,,0
Amphikrikos minutissimus,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Amphikrikos,minutissimus,0
Amphikrikos sp.,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Amphikrikos,,0
Amphipleura pellucida,Bacillariophyceae,Naviculales,1,0,1,0,Microphytoplancton,0,0,box,NA,0,large,Amphipleura,pellucida,0
Amphora coffeaeformis,Bacillariophyceae,Thalassiophysales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Amphora,coffeaeformis,0
Amphora copulata,Bacillariophyceae,Thalassiophysales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Amphora,copulata,0
Amphora inariensis,Bacillariophyceae,Thalassiophysales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Amphora,inariensis,0
Amphora libyca,Bacillariophyceae,Thalassiophysales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Amphora,libyca,0
Amphora ovalis,Bacillariophyceae,Thalassiophysales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Amphora,ovalis,0
Amphora pediculus,Bacillariophyceae,Thalassiophysales,1,0,1,0,Nanophytoplancton,0,0,box,0,0,small,Amphora,pediculus,0
Amphora sp.,Bacillariophyceae,Thalassiophysales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Amphora,,0
Anabaena affinis,Cyanobacteria,Nostocales,0,NA,NA,NA,Microphytoplancton,1,1,trel,0,0,large,Anabaena,affinis,1
Anabaena aphanizomenoïdes,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,aphanizomenoides,0
Anabaena bergii,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,bergii,0
Anabaena bergii var. limneticum,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,bergii,0
Anabaena circinalis,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,circinalis,0
Anabaena circinalis f. tenuis,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,circinalis,0
Anabaena flos-aquae,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,flos-aquae,0
Anabaena flos-aquae f. lemmermannii,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,flos-aquae,0
Anabaena flos-aquae var. treleasii,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,flos-aquae,0
Anabaena macrospora,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,macrospora,0
Anabaena oscillarioides,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,oscillarioides,0
Anabaena oscillarioides f. elliptica,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,oscillarioides,0
Anabaena solitaria,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,solitaria,0
Anabaena solitaria var. planctonica,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,solitaria,0
Anabaena sp.,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,,0
Anabaena spiroides,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,spiroides,0
Anabaena spiroides f. minima,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Anabaena,spiroides,0
Ankistrodesmus bibraianus erreur,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,,0,0,large,Ankistrodesmus,bibraianus,1
Ankistrodesmus falcatus,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Ankistrodesmus,falcatus,1
Ankistrodesmus fusiformis,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Ankistrodesmus,fusiformis,1
Ankistrodesmus gracilis,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Ankistrodesmus,gracilis,1
Ankistrodesmus nannoselene,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,small,Ankistrodesmus,nannoselene,1
Ankistrodesmus sp.,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Ankistrodesmus,,1
Ankyra flagellé zoospore,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Ankyra,flagelle,0
Ankyra inerme,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Ankyra,inerme,0
Ankyra judayi,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Ankyra,judayi,0
Ankyra lanceolata,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Ankyra,lanceolata,0
Aphanizomenon flos-aquae,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Aphanizomenon,flos-aquae,0
Aphanizomenon flos-aquae var. gracile,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Aphanizomenon,flos-aquae,0
Aphanizomenon issatschenkoi,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,large,Aphanizomenon,issatschenkoi,0
Aphanocapsa,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,,1
Aphanocapsa conferta,Cyanobacteria,Chroococcales,0,NA,NA,NA,Microphytoplancton,0,0,trel,0,0,large,Aphanocapsa,conferta,1
Aphanocapsa conferta erreur,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,conferta,1
Aphanocapsa delicatissima,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,delicatissima,1
Aphanocapsa delicatissima (cellules isolées),Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,small,Aphanocapsa,delicatissima,1
Aphanocapsa delicatissima colonie 10 µm,Cyanobacteria,Chroococcales,0,NA,NA,NA,Nanophytoplancton,0,0,trel,0,0,small,Aphanocapsa,delicatissima,1
Aphanocapsa delicatissima colonie 10 µm erreur,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Aphanocapsa,delicatissima,1
Aphanocapsa elachista,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Aphanocapsa,elachista,1
Aphanocapsa elachista colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Aphanocapsa,elachista,1
Aphanocapsa elachista var. conferta,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,elachista,1
Aphanocapsa grevillei,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,grevillei,1
Aphanocapsa grevillei (cellules isolées),Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,small,Aphanocapsa,grevillei,1
Aphanocapsa holsatica,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,holsatica,1
Aphanocapsa holsatica (cellules isolées),Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,small,Aphanocapsa,holsatica,1
Aphanocapsa holsatica colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Aphanocapsa,holsatica,1
Aphanocapsa incerta,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,incerta,1
Aphanocapsa incerta (50 cellules),Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,incerta,1
Aphanocapsa musicola,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,musicola,1
Aphanocapsa nubilum colonie 20 µm,Cyanobacteria,Chroococcales,0,NA,NA,NA,Microphytoplancton,0,0,sphe,0,0,large,Aphanocapsa,nubilum,1
Aphanocapsa parasitica f. dinobryonis,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,parasitica,1
Aphanocapsa parasitica f. dinobryonis cellule isolée,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,small,Aphanocapsa,parasitica,1
Aphanocapsa planctonica,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,planctonica,1
Aphanocapsa planctonica colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Aphanocapsa,planctonica,1
Aphanocapsa planctonica colonie 50 µm,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,planctonica,1
Aphanocapsa sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanocapsa,,1
Aphanothece clathrata,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanothece,clathrata,1
Aphanothece clathrata var. rosea,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanothece,clathrata,1
Aphanothece clathrata var. rosea colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Aphanothece,clathrata,1
Aphanothece elabens,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanothece,elabens,1
Aphanothece nidulans colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Aphanothece,nidulans,1
Aphanothece saxicola,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Aphanothece,saxicola,1
Aphanothece sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,large,Aphanothece,,1
Aphanothece sp. (cellules isolées),Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,tub,NA,0,small,Aphanothece,,0
Aphanothece sp. 1,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,small,Aphanothece,,1
Aphanothecoidea sp. erreur,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,,NA,0,small,Aphanothecoidea,,0
Asterionella formosa,Fragilariophyceae,Fragilariales,0,0,1,0,Microphytoplancton,0,1,box,0,0,large,Asterionella,formosa,0
Aulacoseira ambigua,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,ambigua,0
Aulacoseira cf ambigua,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,ambigua,0
Aulacoseira distans,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,distans,0
Aulacoseira granulata,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,granulata,0
Aulacoseira granulata var. angustissima,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,granulata,0
Aulacoseira granulata var. angustissima f. curvata,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,granulata,0
Aulacoseira islandica subsp. helvetica,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,islandica,0
Aulacoseira muzzanensis,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,muzzanensis,0
Aulacoseira sp.,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,,0
Aulacoseira subarctica,Coscinodiscophyceae,Aulacoseirales,0,0,1,0,Microphytoplancton,1,1,tub,1,0,large,Aulacoseira,subarctica,0
Aulomonas purdyi,Choanoflagellatea,Choanoflagellida,1,1,0,0,Nanophytoplancton,0,0,ell,NA,0,small,Aulomonas,purdyi,0
Bicoeca campanulata,Bicosoecophyceae,Bicosoecales,0,1,0,0,Microphytoplancton,0,0,ell,NA,0,large,Bicoeca,campanulata,0
Bicoeca cf paropsis,Bicosoecophyceae,Bicosoecales,0,1,0,0,Nanophytoplancton,0,0,ell,NA,0,small,Bicoeca,paropsis,0
Bicoeca cf. campanulata petit morphotype,Bicosoecophyceae,Bicosoecales,0,1,0,0,Nanophytoplancton,0,0,con,NA,0,small,Bicoeca,cf.,0
Bicoeca cylindrica,Bicosoecophyceae,Bicosoecales,0,1,0,0,Microphytoplancton,0,0,ell,NA,0,large,Bicoeca,cylindrica,0
Bicoeca ovata,Bicosoecophyceae,Bicosoecales,0,1,0,0,Microphytoplancton,0,0,ell,NA,0,large,Bicoeca,ovata,0
Bicoeca planctonica,Bicosoecophyceae,Bicosoecales,0,1,0,0,Nanophytoplancton,0,0,ell,NA,0,small,Bicoeca,planctonica,0
Bicoeca sp.,Bicosoecophyceae,Bicosoecales,0,1,0,0,Microphytoplancton,0,0,ell,NA,0,large,Bicoeca,,0
Bicoeca stellata,Bicosoecophyceae,Bicosoecales,0,1,0,0,Microphytoplancton,0,0,ell,NA,0,large,Bicoeca,stellata,0
Bitrichia chodatii,Chrysophyceae,Hibberdiales,0,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Bitrichia,chodatii,0
Bitrichia danubiensis,Chrysophyceae,Hibberdiales,0,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Bitrichia,danubiensis,0
Bitrichia ollula,Chrysophyceae,Hibberdiales,0,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Bitrichia,ollula,0
Botryococcus braunii,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Botryococcus,braunii,1
Brachysira neoexilis,Bacillariophyceae,Naviculales,1,0,1,0,Nanophytoplancton,0,0,rhp,NA,0,small,Brachysira,neoexilis,0
Caloneis sp.,Bacillariophyceae,Naviculales,1,0,1,0,Microphytoplancton,0,0,box,0,0,large,Caloneis,,0
Calothrix sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,NA,0,large,Calothrix,,1
Calycomonas pascheri,Chrysophyceae,Chromulinales,1,0,1,0,Nanophytoplancton,0,0,ell,NA,0,small,Calycomonas,pascheri,0
Campylodiscus noricus,Bacillariophyceae,Surirellales,1,0,1,0,Microphytoplancton,0,0,box,NA,0,large,Campylodiscus,noricus,0
Carteria multifilis,Chlorophyceae,Volvocales,1,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Carteria,multifilis,0
Carteria sp.,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Carteria,,0
Carteria wisconsinensis,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Carteria,wisconsinensis,1
Cellule de Dinobryon,Chrysophyceae,Chromulinales,1,0,1,0,Nanophytoplancton,0,1,trel,NA,0,small,Cellule,de,0
Centriques  spp.,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,box,NA,0,small,Centriques,,0
Centriques (Cyclotella + Stephanodiscus),Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,box,NA,0,small,Centriques,(Cyclotella,0
Centriques <10µm,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,box,NA,0,small,Centriques,<10?m,0
Centriques >10µm,Coscinodiscophyceae,Thalassiosirales,0,0,1,0,Nanophytoplancton,0,0,box,NA,0,small,Centriques,>10?m,0
Centritractus belenophorus,Xanthophyceae,Mischococcales,1,0,0,1,Microphytoplancton,0,1,tub,NA,0,large,Centritractus,belenophorus,0
Ceratium hirundinella,Dinophyceae,Peridiniales,1,0,1,0,Microphytoplancton,0,0,ell,0,0,large,Ceratium,hirundinella,0
cf Mantellum sp.,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,ell,NA,0,small,Mantellum,,0
cf. Katodinium fongiforme,Dinophyceae,Gymnodiniales,1,0,1,0,Nanophytoplancton,0,0,ell,NA,0,small,cf.,Katodinium,0
Characiaceae sp.,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,0,ell,NA,0,large,Characiaceae,,0
Characium sp.,Chlorophyceae,Chlorococcales,0,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Characium,,0
Chlamydocapsa sp.,Chlorophyceae,Tetrasporales,1,0,0,1,Microphytoplancton,0,0,ell,NA,0,large,Chlamydocapsa,,1
Chlamydomonadacées sp.,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Chlamydomonadacees,,0
Chlamydomonas cf botryospora,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlamydomonas,botryospora,0
Chlamydomonas conica,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlamydomonas,conica,0
Chlamydomonas conica var. subconica,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlamydomonas,conica,0
Chlamydomonas globosa,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlamydomonas,globosa,0
Chlamydomonas gloeopara,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,trel,0,0,small,Chlamydomonas,gloeopara,0
Chlamydomonas gloeophila var. irregularis,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlamydomonas,gloeophila,0
Chlamydomonas intermedia,Chlorophyceae,Volvocales,1,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Chlamydomonas,intermedia,0
Chlamydomonas proboscigera,Chlorophyceae,Volvocales,1,0,0,1,Microphytoplancton,0,0,ell,0,0,large,Chlamydomonas,proboscigera,0
Chlamydomonas reinhardtii,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlamydomonas,reinhardtii,1
Chlamydomonas sp.,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlamydomonas,,0
Chlamydomonas sp. 8 µm,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,trel,0,0,small,Chlamydomonas,,0
Chlamydomonas zebra,Chlorophyceae,Volvocales,1,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlamydomonas,zebra,0
Chlorella + Choricysits,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlorella,+,0
Chlorella cf ellipsoidea,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlorella,ellipsoidea,0
Chlorella vulgaris,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,small,Chlorella,vulgaris,0
Chlorellaceae sp,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,sphe,NA,0,small,Chlorellaceae,,0
Chlorelloidea sp.,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Chlorelloidea,,0
Chlorhormidium sp.,Ulvophyceae,Ulotrichales,0,0,0,1,Microphytoplancton,1,1,tub,NA,0,large,Chlorhormidium,,0
Chlorhormidium subtile,Ulvophyceae,Ulotrichales,0,0,0,1,Microphytoplancton,1,1,tub,NA,0,large,Chlorhormidium,subtile,0
Chroococcales sp.,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,small,Chroococcales,,0
Chlorolobion saxatile,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,1,ell,NA,0,small,Chlorolobion,saxatile,0
Chlorophycées coloniales petits,Chlorophyceae,,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Chlorophycees,coloniales,0
Chlorophycées indéterminées gros,Chlorophyceae,,0,0,0,1,Microphytoplancton,0,0,ell,NA,0,large,Chlorophycees,indeterminees,0
Chlorophycées indéterminées petits,Chlorophyceae,,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Chlorophycees,indeterminees,0
Chlorophycées sp.,Chlorophyceae,,0,0,0,1,Microphytoplancton,0,0,ell,NA,0,large,Chlorophycees,,0
Chlorophycées sp. filaments,Chlorophyceae,,0,0,0,1,Microphytoplancton,1,1,ell,NA,0,large,Chlorophycees,,0
Chlorophycées spp.,Chlorophyceae,,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Chlorophycees,,0
Choricystis cf chodatii,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Choricystis,chodatii,0
Choricystis cf minor,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Choricystis,minor,0
Choricystis minor,Chlorophyceae,Chlorococcales,0,0,0,1,Nanophytoplancton,0,0,ell,NA,0,small,Choricystis,minor,0
Chromulina cf erkensis,Chrysophyceae,Chromulinales,1,0,1,0,Nanophytoplancton,0,0,ell,0,0,small,Chromulina,erkensis,0
Chrooccocus distans (4 cellules),Cyanobacteria,Chroococcales,0,NA,NA,NA,Nanophytoplancton,0,0,sphe,NA,0,small,Chrooccocus,distans,1
Chroococcus limneticus,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,0,0,large,Chroococcus,limneticus,1
Chroococcus microscopicus,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Chroococcus,microscopicus,1
Chroococcus minimus,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,small,Chroococcus,minimus,1
Chroococcus minutus,Cyanobacteria,Chroococcales,0,NA,NA,NA,Microphytoplancton,0,0,ell,0,0,large,Chroococcus,minutus,1
Chroococcus minutus erreur,Cyanobacteria,Chroococcales,0,NA,NA,NA,Microphytoplancton,0,0,ell,0,0,large,Chroococcus,minutus,0
Chroococcus obliteratus,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,small,Chroococcus,obliteratus,1
Chroococcus prescottii,Cyanobacteria,Chroococcales,0,NA,NA,NA,Microphytoplancton,0,0,sphe,0,0,large,Chroococcus,prescottii,1
Chroococcus sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Chroococcus,,1
Chroococcus turgidus (4 cellules),Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,0,0,large,Chroococcus,turgidus,1
Chroococcus turgidus (8 cellules),Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,large,Chroococcus,turgidus,1
Chroococcus varius,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,0,0,large,Chroococcus,varius,1
Chroomonas cf coerulea,Cryptophyceae,Pyrenomonadales,1,0,1,0,Nanophytoplancton,0,0,trel,0,0,small,Chroomonas,coerulea,0
Chroomonas sp.,Cryptophyceae,Pyrenomonadales,1,0,1,0,Nanophytoplancton,0,0,ell,0,0,small,Chroomonas,,0
