Genus + species name,Empire,Kingdom,Subkingdom,Phylum,Class,Order,Family,Genus,Species,Kind of infraspecific level: var./f./ssp.,Infraspecific name,Determination uncertainty level,Authorities,Class sensu Bourrelly (1974),INRA code,Cell length µm,Cell width µm,Cell thickness µm,Geometrical shape of the cell,Multiplicative factor to the geometrical shape to get the cell biovolume,Dividing factor to the geometrical shape to get the cell surface area,Cell surface area µm²,Cell biovolume µm3,Number of cells per colony,Cumulated surface area of cells in a colony µm²,Cumulated biovolume of cells in a colony µm3,Colony length (takes into account mucilage) µm,Colony width (takes into account mucilage) µm,Colony thickness (takes into account mucilage) µm,Geometrical shape of the colony,Multiplicative factor to the geometrical shape to get the colony biovolume (without mucilage),Dividing factor to the geometrical shape to get the colony surface area (take into account mucilage),Colony surface area µm² (with mucilage),Colony biovolume µm3 (without mucilage),Reference biovolume,Maximal length of the algal object,Notes on biovolumes,Organic carbon ratio (Wetzel et Likens 2000),Functional groups (Reynolds 2002),Functional groups (Padisak 2009),Morpho-classification (Kruk 2010),Nano/microphytoplankton,Mobility apparatus,Mobility apparatus: Flagella,Mobility apparatus: Raphe,Colonial,Filament,Heterotrophic,Mixotrophic,Autotrophic,<=5,8-May,15-Aug,15-30,30-60,>60
Aphanocapsa,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,griffithii,,,,Nägeli,Cyanobactéries,10263,2,2,2,trel,1,1,46.6,4.19,50,2329.94,209.33,50,50,50,trel,0.1,1,24400.08,6541.67,209.3333333,100,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa musicola,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,musicola,,,,(Meneghini) Wille,Cyanobactéries,11712,3.1,3.1,3.1,trel,1,1,102.99,15.59,96,9886.85,1496.7,70,70,70,trel,0.1,1,47800.4,17950.33,1497.5,80,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,0,1,2,5,2,0
Aphanocapsa conferta,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,conferta,,,,(West & G.S.West) Komárková-Legnerová & Cronberg,Cyanobactéries,11709,1.7,1.7,1.7,trel,1,1,35.2,2.57,70,2463.79,179.98,50,50,50,trel,0.1,1,24400.08,6541.67,179.9795667,50,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa delicatissima,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,delicatissima,,,,W. & G.S.West,Cyanobactéries,10670,0.75,0.75,0.75,trel,1,1,9.93,0.22,4000,39705.82,883.13,70,70,70,trel,0.1,1,47800.4,17950.33,17950.33333,70,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa delicatissima colony 10 µm,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,delicatissima,colony,10 µm,,W. & G. S. West,Cyanobactéries,10673,0.75,0.75,0.75,trel,1,1,9.93,0.22,20,198.53,4.42,10,10,10,trel,0.1,1,990.07,52.33,52.33333333,10,Averages from literature,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa delicatissima (single cell),Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,delicatissima,f.,single cell,,W. & G. S. West,Cyanobactéries,10671,0.75,0.75,0.75,sphe,1,1,1.77,0.22,1,1.77,0.22,,,,,,,,,0.22078125,0.75,Averages from literature,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa elachista,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,elachista,,,,W. & G.S.West,Cyanobactéries,11711,2,2,2,trel,1,1,46.6,4.19,75,3494.91,314,15,15,15,trel,0.1,1,2211.34,176.63,314.2,15,Averages from literature,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa elachista colony 10 µm,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,elachista,colony,10 µm,,(West) West,Cyanobactéries,11713,2,2,2,trel,1,1,46.6,4.19,35,1630.96,146.53,10,10,10,trel,0.1,1,990.07,52.33,157,10,Moyenne Annecy GL - 23/09/09,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa elachista var. conferta,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,elachista,var.,conferta,,W. & G.S. West,Cyanobactéries,10220,2,2,2,trel,1,1,46.6,4.19,1250,58248.5,5233.33,50,50,50,trel,0.1,1,24400.08,6541.67,5240,100,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa grevillei,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,grevillei,,,,(Berkeley) Rabenhorst,Cyanobactéries,10240,4.5,4.5,4.5,trel,1,1,208.34,47.69,110,22917.84,5245.76,100,100,100,trel,0.01,1,97522.27,5233.33,5236,100,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa grevillei (single cell),Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,grevillei,f.,single cell,,(Berkeley) Rabenhorst,Cyanobactéries,10241,4.5,4.5,4.5,sphe,1,1,63.59,47.69,1,63.59,47.69,,,,,,,,,47.68875,4.5,Averages from literature,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa holsatica,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,holsatica,,,,(Lemmermann) Cronberg & Komarek,Cyanobactéries,10675,1.5,1.5,1.5,trel,1,1,28.53,1.77,370,10554.83,653.51,50,50,50,trel,0.01,1,24400.08,654.17,654.5,50,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa holsatica colony 10 µm,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,holsatica,f.,colony 10 µm,,(Lemmermann) G.Cronberg & Komarek,Cyanobactéries,10677,1.5,1.5,1.5,trel,1,1,28.53,1.77,6,171.16,10.6,10,10,10,trel,0.02,1,990.07,10.47,10.46666667,10,Moyenne Annecy,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa holsatica (single cell),Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,holsatica,f.,single cell,,(Lemmermann) G.Cronberg & Komarek,Cyanobactéries,10676,1.5,1.5,1.5,sphe,1,1,7.07,1.77,1,7.07,1.77,,,,,,,,,1.76625,1.5,Averages from literature,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa incerta,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,incerta,,,,(Lemmermann) Cronberg & Komarek,Cyanobactéries,10260,1,1,1,trel,1,1,15.03,0.52,130,1954.43,68.03,35,35,35,trel,0.7,1,11967.01,15706.54,15714.5,35,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa incerta (50 cells),Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,incerta,f.,50 cells,,(Lemmermann) G.Cronberg & Komarek,Cyanobactéries,10261,1,1,1,trel,1,1,15.03,0.52,50,751.7,26.17,50,50,50,trel,0.1,1,24400.08,6541.67,26.16666667,50,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa nubilum colony 20 µm,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,nubilum,f.,colony 20 µm,,Komarek & H.J.Kling,Cyanobactéries,10267,1.6,1.6,1.6,sphe,1,1,8.04,2.14,30,241.15,64.31,20,20,20,trel,0.3,1,3919.52,1256,64.3072,20,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa parasitica f. dinobryonis,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,parasitica,f.,dinobryonis,,(Kützing) Komarek & Anagnostidis,Cyanobactéries,11720,1.9,1.9,1.9,trel,1,1,42.61,3.59,100,4261.09,358.95,20,9,9,trel,0.1,1,1763.78,84.78,210.2,50,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,0,1,2,5,2,0
Aphanocapsa parasitica f. dinobryonis single cell,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,parasitica,f.,dinobryonis single cell,,(Kützing) Komarek & Anagnostidis,Cyanobactéries,11721,1.9,1.9,1.9,ell,1,1,42.61,3.59,1,42.61,3.59,,,,,,,,,3.589543333,1.9,Averages from literature,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,0,1,2,5,2,0
Aphanocapsa planctonica,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,planctonica,,,,(G.M. Smith) J. Komarek & Anagnostidis,Cyanobactéries,10261,2.5,2.5,2.5,trel,1,1,69.37,8.18,2900,201180.02,23713.54,40,40,40,trel,0.7,1,15624.05,23445.33,26.16666667,50,Moyenne sur Annecy 20087,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa planctonica colony 10 µm,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,planctonica,colony,colony 10 µm,,(G.M.Sm.) Komarek & Anagn.,Cyanobactéries,10264,2.5,2.5,2.5,trel,1,1,69.37,8.18,47,3260.5,384.32,10,10,10,trel,0.7,1,990.07,366.33,366.3333333,10,Moyenne Bourget 2009,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa planctonica colony 50 µm,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,planctonica,colony,colony 50 µm,,(G.M.Sm.) Komarek & Anagn.,Cyanobactéries,10268,2.5,2.5,2.5,trel,1,1,69.37,8.18,8500,589665.58,69505.21,50,50,50,trel,0.7,1,24400.08,45791.67,45791.66667,50,Moyenne Bourget 2016,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanocapsa sp.,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Aphanocapsa,sp.,,,Species,Nägeli,Cyanobactéries,10262,2,2,2,trel,1,1,46.6,4.19,50,2329.94,209.33,15,15,15,trel,0.1,1,2211.34,176.63,209.3333333,50,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanothece clathrata,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Aphanothece,"clathrata		",,,,W. & G.S.West,Cyanobactéries,10310,2.5,1,1,trel,1,1,27.75,1.31,4000,110995.87,5233.33,100,100,100,trel,0.01,1,97522.27,5233.33,5236,100,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,1,1,3,2,2,1
Aphanothece clathrata var. rosea,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Aphanothece,clathrata,var.,rosea,,Skuja,Cyanobactéries,10320,2.5,1,1,trel,1,1,27.75,1.31,4000,110995.87,5233.33,100,100,100,trel,0.01,1,97522.27,5233.33,5236,100,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,1,1,3,2,2,1
Aphanothece clathrata var. rosea colony 10 µm,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Aphanothece,clathrata,var.,rosea colony 10 µm,,Skuja,Cyanobactéries,10322,2.5,1,1,trel,1,1,27.75,1.31,7,194.24,9.16,10,10,10,trel,0.01,1,990.07,5.23,5.233333333,10,Averages from literature,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,1,1,3,2,2,1
Aphanothece elabens,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Aphanothece,elabens,,,,(Brébisson) Elenkin,Cyanobactéries,10321,5,2,2,trel,1,1,102.06,10.47,13,1326.77,136.07,30,30,30,trel,0.01,1,8797.28,141.3,141.3,30,Mesure sur Annecy 2007,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanothece nidulans colony 10 µm,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Aphanothece,nidulans,colony,10 µm,,Richter,Cyanobactéries,13023,3,1.5,1.5,trel,1,1,48.45,3.53,10,484.53,35.33,10,10,10,trel,0.1,1,990.07,52.33,52.33333333,10,Averages from literature,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanothece saxicola,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Aphanothece,"saxicola		",,,,Nägeli,Cyanobactéries,10330,2,1,1,trel,1,1,23.3,1.05,300,6989.82,314,20,20,20,trel,0.1,1,3919.52,418.67,314,2,"Mesures sur rivières Morcille hiver 2007-2008 (colonies de 300 cellules, colonies de 56*35*35)",0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,1,1,3,2,2,1
Aphanothece sp. (single cell),Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Aphanothece,sp.,f.,single cell,Species,Nägeli,Cyanobactéries,10302,1.5,1,1,tube,1,1,6.28,1.18,1,6.28,1.18,,,,,,,,,1.1775,1.5,Averages from literature,0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanothece sp.,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Aphanothece,sp.,,,Species,Nägeli,Cyanobactéries,10300,2.5,1,1,trel,1,1,27.75,1.31,4000,110995.87,5233.33,100,100,100,trel,0.01,1,97522.27,5233.33,5236,100,Averages from literature,0.22,K,K,VII,Microphytoplankton,0,0,0,1,0,0,0,1,,,,,,
Aphanothece sp. 1,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Synechococcaceae,Aphanothece,sp. 1,,,Species,Nägeli,Cyanobactéries,10301,5,1.5,1.5,trel,1,1,76.54,5.89,10,765.44,58.88,10,10,10,trel,0.1,1,990.07,52.33,58.875,5,Mesures sur Morcille hiver 2007-2008 (ecotox Aurelie Villeneuve),0.22,K,K,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Calothrix sp.,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Calothrix,sp.,,,Species,C. Agardh ex É. Bornet & C. Flahault,Cyanobactéries,11800,4,3.5,3.5,tube,0.8,0.8,68,30.77,15,1020.01,461.58,60.4,3.5,3.5,tube,0.92,0.92,684.7,534.36,580,60.4,Averages from literature,0.22,,,IV,Microphytoplankton,0,0,0,1,1,0,0,1,,,,,,
cf Mantellum sp.,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Merismopediaceae,Mantellum,sp,,,Genus,P. J.L. Dangeard,Cyanobactéries,11900,4,4,4,ell,1,1,166.38,33.49,1,166.38,33.49,,,,,,,,,33.5,4,Averages from literature,0.22,,,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
Chlorococcales sp.,Prokaryota,Bacteria,Negibacteria,Cyanobacteria,Cyanophyceae,Chroococcales,,,,,,Order,,Cyanobactéries,10409,1.5,1.5,1.5,sphe,1,1,7.07,1.77,1,7.07,1.77,,,,,,,,,1.76625,1.5,Averages from literature,0.22,,,VII,Nanophytoplankton,0,0,0,1,0,0,0,1,,,,,,
