taxon,date,group,Length,Width,Colonies,shape,cell sa,cell vol,cell mld,colony shape,colony length,colony width,colony sa,colony vol,colony mld,extra source
Anabaena.smithii,7/24/2006,Cyanobacteria,8.5,8.4,1,Ellipsoid,223.4321498,314.0336017,8.5,,,,,,,
Anabaena.smithii,7/21/2014,Cyanobacteria,9.3,10,1,Ellipsoid,285.4492576,452.860581,10,,,,,,,
Anabaena.smithii,7/13/2015,Cyanobacteria,4,5.5,1,Ellipsoid,63.22017464,46.07669225,5.5,,,,,,,
Anabaena.spp.,7/4/2005,Cyanobacteria,6.6,4.6,1,Ellipsoid,86.41610632,73.1237106,6.6,,,,,,,
Anabaenopsis.elenkinii,8/18/2008,Cyanobacteria,8.7,7,1,Ellipsoid,179.3930203,223.210158,8.7,,,,,,,
Anabaenopsis.elenkinii,8/4/2008,Cyanobacteria,0,7,1,Ellipsoid,0,0,7,,,,,,,
Anabaenopsis.elenkinii,7/14/2014,Cyanobacteria,9,7,1,Ellipsoid,183.9800361,230.90706,9,,,,,,,
Anabaenopsis.elenkinii,7/22/2013,Cyanobacteria,8.7,6,1,Ellipsoid,148.2420612,163.9911365,8.7,,,,,,,
Aphanizomenon.aphanizomenoides,6/4/2012,Cyanobacteria,191.7,4,1,Cylinder,2434.105988,2408.973247,191.7,,,,,,,
Aphanizomenon.flos-aquae,7/19/2010,Cyanobacteria,58.3,3,1,Cylinder,563.6017221,412.0984163,58.3,,,,,,,
Aphanizomenon.flos-aquae,9/28/2009,Cyanobacteria,107.2,4,1,Cylinder,1372.247671,1347.11493,107.2,,,,,,,
Aphanizomenon.flos-aquae,7/12/2010,Cyanobacteria,80.8,3.5,1,Cylinder,907.6846574,777.3871021,80.8,,,,,,,
Aphanizomenon.flos-aquae,9/3/2007,Cyanobacteria,82.8,4.5,1,Cylinder,1202.366048,1316.877101,82.8,,,,,,,
Aphanizomenon.flos-aquae,6/22/2009,Cyanobacteria,170,4.5,1,Cylinder,2435.127006,2703.733177,170,,,,,,,
Aphanizomenon.flos-aquae,6/28/2004,Cyanobacteria,140,4,1,Cylinder,1784.424627,1759.291886,140,,,,,,,
Aphanizomenon.flos-aquae,10/5/2015,Cyanobacteria,193.5,4.4,1,Cylinder,2705.162602,2942.227184,193.5,,,,,,,
Aphanizomenon.flos-aquae,7/18/2011,Cyanobacteria,168,4,1,Cylinder,2136.283004,2111.150263,168,,,,,,,
Aphanizomenon.flos-aquae,8/7/2006,Cyanobacteria,92.9,4,1,Cylinder,1192.548571,1167.41583,92.9,,,,,,,
Aphanizomenon.flos-aquae,7/21/2008,Cyanobacteria,114.3,4.5,1,Cylinder,1647.686807,1817.862954,114.3,,,,,,,
Aphanizomenon.flos-aquae,6/11/2007,Cyanobacteria,141.9,3,1,Cylinder,1351.51316,1003.031994,141.9,,,,,,,
Aphanizomenon.flos-aquae,9/2/2013,Cyanobacteria,80.5,4.4,1,Cylinder,1143.162735,1224.02733,80.5,,,,,,,
Aphanizomenon.flos-aquae,6/29/2009,Cyanobacteria,139.5,4.5,1,Cylinder,2003.943414,2218.651637,139.5,,,,,,,
Aphanizomenon.flos-aquae,7/16/2012,Cyanobacteria,138.6,4.5,1,Cylinder,1991.219964,2204.337755,138.6,,,,,,,
Aphanizomenon.flos-aquae,11/21/2005,Cyanobacteria,87.2,4.8,1,Cylinder,1351.136168,1577.934025,87.2,,,,,,,
Aphanizomenon.flos-aquae,8/8/2016,Cyanobacteria,120.5,4.4,1,Cylinder,1696.083042,1832.239667,120.5,,,,,,,
Aphanizomenon.flos-aquae,6/28/2010,Cyanobacteria,186,3.8,1,Cylinder,2243.159987,2109.453803,186,,,,,,,
Aphanizomenon.flos-aquae,7/7/2014,Cyanobacteria,159.8,4,1,Cylinder,2033.238765,2008.106024,159.8,,,,,,,
Aphanizomenon.flos-aquae,9/5/2011,Cyanobacteria,91.5,4.5,1,Cylinder,1325.359401,1455.244622,91.5,,,,,,,
Aphanizomenon.flos-aquae,9/11/2006,Cyanobacteria,139.2,4,1,Cylinder,1774.371531,1749.23879,139.2,,,,,,,
Aphanizomenon.flos-aquae,5/29/2007,Cyanobacteria,195,4,1,Cylinder,2475.575011,2450.44227,195,,,,,,,
Aphanizomenon.flos-aquae,7/8/2013,Cyanobacteria,184.5,4.6,1,Cylinder,2699.507735,3066.210138,184.5,,,,,,,
Aphanizomenon.flos-aquae,9/27/2012,Cyanobacteria,125.8,4,1,Cylinder,1605.982165,1580.849423,125.8,,,,,,,
Aphanizomenon.flos-aquae,10/1/2012,Cyanobacteria,146.8,4.5,1,Cylinder,2107.144733,2334.75312,146.8,,,,,,,
Aphanizomenon.flos-aquae,10/22/2012,Cyanobacteria,165.2,5,1,Cylinder,2634.22544,3243.694415,165.2,,,,,,,
Aphanizomenon.flos-aquae,10/4/2011,Cyanobacteria,75.5,4,1,Cylinder,973.8937226,948.7609814,75.5,,,,,,,
Aphanizomenon.flos-aquae,8/13/2012,Cyanobacteria,144.2,4,1,Cylinder,1837.203384,1812.070643,144.2,,,,,,,
Aphanizomenon.flos-aquae,6/20/2016,Cyanobacteria,155.1,4.1,1,Cylinder,2024.175271,2047.714439,155.1,,,,,,,
Aphanizomenon.flos-aquae,7/2/2007,Cyanobacteria,89.3,4,1,Cylinder,1147.309637,1122.176896,89.3,,,,,,,
Aphanizomenon.flos-aquae,7/7/2008,Cyanobacteria,109.8,4.5,1,Cylinder,1584.069556,1746.293546,109.8,,,,,,,
Aphanizomenon.flos-aquae,7/20/2009,Cyanobacteria,102.9,4,1,Cylinder,1318.212277,1293.079536,102.9,,,,,,,
Aphanizomenon.flos-aquae,8/2/2004,Cyanobacteria,71,5,1,Cylinder,1154.5353,1394.08174,71,,,,,,,
Aphanizomenon.flos-aquae,6/21/2004,Cyanobacteria,171.4,4,1,Cylinder,2179.008665,2153.875923,171.4,,,,,,,
Aphanizomenon.flos-aquae,9/10/2012,Cyanobacteria,98.1,4.5,1,Cylinder,1418.664703,1560.213087,98.1,,,,,,,
Aphanizomenon.flos-aquae,8/4/2014,Cyanobacteria,80.7,3.9,1,Cylinder,1012.645268,964.0346195,80.7,,,,,,,
Aphanizomenon.flos-aquae,9/26/2011,Cyanobacteria,94.8,5,1,Cylinder,1528.384826,1861.393647,94.8,,,,,,,
Aphanizomenon.flos-aquae,7/15/2013,Cyanobacteria,127,3.9,1,Cylinder,1579.922653,1517.13007,127,,,,,,,
Aphanizomenon.flos-aquae,8/25/2008,Cyanobacteria,78.9,3.5,1,Cylinder,886.7930663,759.1069599,78.9,,,,,,,
Aphanizomenon.flos-aquae,10/10/2016,Cyanobacteria,212.2,4.7,1,Cylinder,3167.934908,3681.55232,212.2,,,,,,,
Aphanizomenon.flos-aquae,10/15/2007,Cyanobacteria,52.5,4,1,Cylinder,684.8671985,659.7344573,52.5,,,,,,,
Aphanizomenon.flos-aquae,7/21/2014,Cyanobacteria,119.4,3.5,1,Cylinder,1332.113825,1148.762624,119.4,,,,,,,
Aphanizomenon.flos-aquae,8/11/2008,Cyanobacteria,79.1,3.5,1,Cylinder,888.9921811,761.0311854,79.1,,,,,,,
Aphanizomenon.flos-aquae,8/6/2007,Cyanobacteria,125,4,1,Cylinder,1595.929068,1570.796327,125,,,,,,,
Aphanizomenon.flos-aquae,9/23/2013,Cyanobacteria,46,3.8,1,Cylinder,571.8326948,521.6928761,46,,,,,,,
Aphanizomenon.flos-aquae,5/23/2005,Cyanobacteria,143.3,4,1,Cylinder,1825.89365,1800.760909,143.3,,,,,,,
Aphanizomenon.flos-aquae,6/27/2011,Cyanobacteria,111,4.7,1,Cylinder,1673.667778,1925.788443,111,,,,,,,
Aphanizomenon.flos-aquae,9/3/2012,Cyanobacteria,163.5,4.5,1,Cylinder,2343.23542,2600.355144,163.5,,,,,,,
Aphanizomenon.flos-aquae,9/19/2011,Cyanobacteria,106.4,4,1,Cylinder,1362.194575,1337.061833,106.4,,,,,,,
Aphanizomenon.flos-aquae,7/13/2009,Cyanobacteria,222.5,4,1,Cylinder,2821.150203,2796.017462,222.5,,,,,,,
Aphanizomenon.flos-aquae,7/16/2007,Cyanobacteria,90.5,4,1,Cylinder,1162.389282,1137.256541,90.5,,,,,,,
Aphanizomenon.flos-aquae,8/29/2016,Cyanobacteria,100.8,4.2,1,Cylinder,1357.733513,1396.525899,100.8,,,,,,,
Aphanizomenon.flos-aquae,8/26/2013,Cyanobacteria,97,1,1,Cylinder,306.3052837,76.18362185,97,,,,,,,
Aphanizomenon.flos-aquae,10/25/2004,Cyanobacteria,85.4,4.5,1,Cylinder,1239.122682,1358.228314,85.4,,,,,,,
Aphanizomenon.flos-aquae,7/30/2007,Cyanobacteria,92.8,4,1,Cylinder,1191.291934,1166.159193,92.8,,,,,,,
Aphanizomenon.flos-aquae,11/9/2009,Cyanobacteria,97.5,5,1,Cylinder,1570.796327,1914.408023,97.5,,,,,,,
Aphanizomenon.flos-aquae,9/7/2015,Cyanobacteria,114.5,3.8,1,Cylinder,1389.589263,1298.561615,114.5,,,,,,,
Aphanizomenon.flos-aquae,9/24/2012,Cyanobacteria,110.7,4.3,1,Cylinder,1524.473543,1607.586733,110.7,,,,,,,
Aphanizomenon.flos-aquae,10/29/2012,Cyanobacteria,30,5,1,Cylinder,510.5088062,589.0486225,30,,,,,,,
Aphanizomenon.flos-aquae,10/24/2011,Cyanobacteria,105,4,1,Cylinder,1344.601656,1319.468915,105,,,,,,,
Aphanizomenon.flos-aquae,8/1/2005,Cyanobacteria,98.6,4.5,1,Cylinder,1425.733286,1568.165243,98.6,,,,,,,
Aphanizomenon.flos-aquae,11/19/2007,Cyanobacteria,118,3.7,1,Cylinder,1393.123554,1268.747901,118,,,,,,,
Aphanizomenon.flos-aquae,11/24/2008,Cyanobacteria,102.5,4,1,Cylinder,1313.185729,1288.052988,102.5,,,,,,,
Aphanizomenon.flos-aquae,7/5/2004,Cyanobacteria,146.7,5,1,Cylinder,2343.62812,2880.447764,146.7,,,,,,,
Aphanizomenon.flos-aquae,7/2/2012,Cyanobacteria,146.1,4,1,Cylinder,1861.079488,1835.946747,146.1,,,,,,,
Aphanizomenon.flos-aquae,7/28/2014,Cyanobacteria,120,4.1,1,Cylinder,1572.068672,1584.305175,120,,,,,,,
Aphanizomenon.flos-aquae,7/25/2016,Cyanobacteria,117.8,4.2,1,Cylinder,1582.043228,1632.0511,117.8,,,,,,,
Aphanizomenon.flos-aquae,8/1/2016,Cyanobacteria,146.8,4.1,1,Cylinder,1917.266873,1938.133331,146.8,,,,,,,
Aphanizomenon.flos-aquae,7/18/2005,Cyanobacteria,140.4,4,1,Cylinder,1789.451175,1764.318434,140.4,,,,,,,
Aphanizomenon.flos-aquae,10/4/2010,Cyanobacteria,62.5,4,1,Cylinder,810.5309046,785.3981634,62.5,,,,,,,
Aphanizomenon.flos-aquae,8/31/2009,Cyanobacteria,93.1,4,1,Cylinder,1195.061845,1169.929104,93.1,,,,,,,
Aphanizomenon.flos-aquae,10/13/2008,Cyanobacteria,141.1,4.5,1,Cylinder,2026.562881,2244.098537,141.1,,,,,,,
Aphanizomenon.flos-aquae,8/24/2015,Cyanobacteria,87.5,3.7,1,Cylinder,1038.594823,940.808825,87.5,,,,,,,
Aphanizomenon.flos-aquae,11/6/2006,Cyanobacteria,161.2,4.7,1,Cylinder,2414.895149,2796.730603,161.2,,,,,,,
Aphanizomenon.flos-aquae,9/15/2008,Cyanobacteria,104,3.5,1,Cylinder,1162.781981,1000.59726,104,,,,,,,
Aphanizomenon.flos-aquae,9/12/2005,Cyanobacteria,68.4,4.3,1,Cylinder,953.0492554,993.3056236,68.4,,,,,,,
Aphanizomenon.flos-aquae,8/15/2011,Cyanobacteria,85.7,4,1,Cylinder,1102.070703,1076.937962,85.7,,,,,,,
Aphanizomenon.flos-aquae,11/5/2007,Cyanobacteria,167.2,4.5,1,Cylinder,2395.542938,2659.201102,167.2,,,,,,,
Aphanizomenon.flos-aquae,9/9/2013,Cyanobacteria,88.3,3.9,1,Cylinder,1105.762074,1054.823506,88.3,,,,,,,
Aphanizomenon.flos-aquae,9/10/2007,Cyanobacteria,113.1,5,1,Cylinder,1815.840554,2220.713307,113.1,,,,,,,
Aphanizomenon.flos-aquae,7/9/2012,Cyanobacteria,143,4,1,Cylinder,1822.123739,1796.990998,143,,,,,,,
Aphanizomenon.flos-aquae,7/20/2015,Cyanobacteria,133.8,4.3,1,Cylinder,1836.527941,1943.045211,133.8,,,,,,,
Aphanizomenon.flos-aquae,9/29/2008,Cyanobacteria,126,5,1,Cylinder,2018.47328,2474.004215,126,,,,,,,
Aphanizomenon.flos-aquae,9/19/2016,Cyanobacteria,143.9,4.8,1,Cylinder,2206.152025,2603.953053,143.9,,,,,,,
Aphanizomenon.flos-aquae,10/10/2005,Cyanobacteria,94.2,4,1,Cylinder,1208.884853,1183.752112,94.2,,,,,,,
Aphanizomenon.flos-aquae,7/3/2006,Cyanobacteria,179.8,3.7,1,Cylinder,2111.48013,1933.227734,179.8,,,,,,,
Aphanizomenon.flos-aquae,7/30/2012,Cyanobacteria,180,4,1,Cylinder,2287.079452,2261.946711,180,,,,,,,
Aphanizomenon.flos-aquae,10/8/2012,Cyanobacteria,115.3,4,1,Cylinder,1474.035273,1448.902532,115.3,,,,,,,
Aphanizomenon.flos-aquae,7/22/2013,Cyanobacteria,127.4,4.4,1,Cylinder,1791.461795,1937.156296,127.4,,,,,,,
Aphanizomenon.flos-aquae,7/13/2015,Cyanobacteria,152,3.6,1,Cylinder,1739.43702,1547.17155,152,,,,,,,
Aphanizomenon.flos-aquae,7/28/2008,Cyanobacteria,93.3,4,1,Cylinder,1197.57512,1172.442378,93.3,,,,,,,
Aphanizomenon.flos-aquae,10/29/2007,Cyanobacteria,95,5,1,Cylinder,1531.526419,1865.320638,95,,,,,,,
Aphanizomenon.flos-aquae,10/24/2005,Cyanobacteria,161.5,4.5,1,Cylinder,2314.961087,2568.546519,161.5,,,,,,,
Aphanizomenon.flos-aquae,10/16/2006,Cyanobacteria,135,5,1,Cylinder,2159.844949,2650.718801,135,,,,,,,
Aphanizomenon.flos-aquae,10/24/2016,Cyanobacteria,212,4.7,1,Cylinder,3164.981811,3678.082431,212,,,,,,,
Aphanizomenon.flos-aquae,7/6/2009,Cyanobacteria,97.7,4.5,1,Cylinder,1413.009836,1553.851361,97.7,,,,,,,
Aphanizomenon.flos-aquae,7/11/2011,Cyanobacteria,150,4,1,Cylinder,1910.088333,1884.955592,150,,,,,,,
Aphanizomenon.flos-aquae,9/16/2013,Cyanobacteria,117.9,4.2,1,Cylinder,1583.362697,1633.436543,117.9,,,,,,,
Aphanizomenon.flos-aquae,8/20/2007,Cyanobacteria,85,4,1,Cylinder,1093.274243,1068.141502,85,,,,,,,
Aphanizomenon.flos-aquae,10/15/2012,Cyanobacteria,154.8,5,1,Cylinder,2470.862622,3039.490892,154.8,,,,,,,
Aphanizomenon.flos-aquae,9/24/2007,Cyanobacteria,140.5,4,1,Cylinder,1790.707813,1765.575071,140.5,,,,,,,
Aphanizomenon.flos-aquae,7/12/2004,Cyanobacteria,138.8,4.3,1,Cylinder,1904.072183,2015.655271,138.8,,,,,,,
Aphanizomenon.flos-aquae,10/13/2004,Cyanobacteria,111.9,4,1,Cylinder,1431.309613,1406.176872,111.9,,,,,,,
Aphanizomenon.flos-aquae,6/21/2010,Cyanobacteria,170,4,1,Cylinder,2161.415746,2136.283004,170,,,,,,,
Aphanizomenon.flos-aquae,6/12/2006,Cyanobacteria,128.9,4,1,Cylinder,1644.937913,1619.805172,128.9,,,,,,,
Aphanizomenon.flos-aquae,7/14/2014,Cyanobacteria,105.7,3.8,1,Cylinder,1284.534404,1198.7595,105.7,,,,,,,
Aphanizomenon.flos-aquae,6/24/2013,Cyanobacteria,140,4,1,Cylinder,1784.424627,1759.291886,140,,,,,,,
Aphanizomenon.flos-aquae,6/7/2004,Cyanobacteria,131.3,4.5,1,Cylinder,1888.018645,2088.236272,131.3,,,,,,,
Aphanizomenon.flos-aquae,7/23/2007,Cyanobacteria,85.6,3,1,Cylinder,820.8981604,605.0707451,85.6,,,,,,,
Aphanizomenon.flos-aquae,10/8/2007,Cyanobacteria,186.3,5,1,Cylinder,2965.663465,3657.991946,186.3,,,,,,,
Aphanizomenon.flos-aquae,9/17/2012,Cyanobacteria,114.3,4,1,Cylinder,1461.468902,1436.336161,114.3,,,,,,,
Aphanizomenon.flos-aquae,7/9/2007,Cyanobacteria,81.4,4.3,1,Cylinder,1128.664285,1182.09178,81.4,,,,,,,
Aphanizomenon.flos-aquae,6/14/2010,Cyanobacteria,177.5,4,1,Cylinder,2255.663525,2230.530784,177.5,,,,,,,
Aphanizomenon.flos-aquae,6/13/2016,Cyanobacteria,154.6,4.1,1,Cylinder,2017.735006,2041.113167,154.6,,,,,,,
Aphanizomenon.flos-aquae,6/27/2016,Cyanobacteria,150.2,3.8,1,Cylinder,1815.777722,1703.440652,150.2,,,,,,,
Aphanizomenon.flos-aquae,8/22/2011,Cyanobacteria,157,4,1,Cylinder,1998.052928,1972.920186,157,,,,,,,
Aphanizomenon.flos-aquae,9/14/2009,Cyanobacteria,72.9,4.7,1,Cylinder,1111.102782,1264.774572,72.9,,,,,,,
Aphanizomenon.flos-aquae,10/26/2009,Cyanobacteria,107,4,1,Cylinder,1369.734397,1344.601656,107,,,,,,,
Aphanizomenon.flos-aquae,6/20/2005,Cyanobacteria,168,5,1,Cylinder,2678.207737,3298.672286,168,,,,,,,
Aphanizomenon.flos-aquae,8/8/2005,Cyanobacteria,112.4,4.6,1,Cylinder,1657.567116,1867.978425,112.4,,,,,,,
Aphanizomenon.flos-aquae,10/12/2009,Cyanobacteria,46.3,3.5,1,Cylinder,528.3373445,445.4582033,46.3,,,,,,,
Aphanizomenon.flos-aquae,8/21/2006,Cyanobacteria,69.6,5,1,Cylinder,1132.544152,1366.592804,69.6,,,,,,,
Aphanizomenon.flos-aquae,10/17/2005,Cyanobacteria,78.8,4,1,Cylinder,1015.362746,990.2300044,78.8,,,,,,,
Aphanizomenon.flos-aquae,9/8/2008,Cyanobacteria,136.7,4,1,Cylinder,1742.955604,1717.822863,136.7,,,,,,,
Aphanizomenon.flos-aquae,8/3/2015,Cyanobacteria,225,3.9,1,Cylinder,2780.639366,2687.828865,225,,,,,,,
Aphanizomenon.flos-aquae,9/5/2016,Cyanobacteria,229,4.7,1,Cylinder,3415.995064,3973.023003,229,,,,,,,
Aphanizomenon.flos-aquae,6/25/2007,Cyanobacteria,125.8,4,1,Cylinder,1605.982165,1580.849423,125.8,,,,,,,
Aphanizomenon.flos-aquae,8/24/2009,Cyanobacteria,87.4,4,1,Cylinder,1123.433533,1098.300792,87.4,,,,,,,
Aphanizomenon.flos-aquae,6/30/2014,Cyanobacteria,152.9,3.8,1,Cylinder,1848.010463,1734.061755,152.9,,,,,,,
Aphanizomenon.flos-aquae,7/14/2008,Cyanobacteria,125.2,4.6,1,Cylinder,1842.544091,2080.701947,125.2,,,,,,,
Aphanizomenon.flos-aquae,6/18/2007,Cyanobacteria,136.7,3,1,Cylinder,1302.504314,966.2753604,136.7,,,,,,,
Aphanizomenon.flos-aquae,8/29/2011,Cyanobacteria,128.6,4,1,Cylinder,1641.168002,1616.035261,128.6,,,,,,,
Aphanizomenon.flos-aquae,10/17/2011,Cyanobacteria,125.9,5,1,Cylinder,2016.902484,2472.040719,125.9,,,,,,,
Aphanizomenon.flos-aquae,8/27/2007,Cyanobacteria,102.7,4.5,1,Cylinder,1483.69567,1633.372925,102.7,,,,,,,
Aphanizomenon.flos-aquae,9/13/2004,Cyanobacteria,111.9,4,1,Cylinder,1431.309613,1406.176872,111.9,,,,,,,
Aphanizomenon.flos-aquae,7/11/2016,Cyanobacteria,181.2,4.4,1,Cylinder,2535.139608,2755.20189,181.2,,,,,,,
Aphanizomenon.flos-aquae,8/20/2012,Cyanobacteria,138.8,4,1,Cylinder,1769.344983,1744.212241,138.8,,,,,,,
Aphanizomenon.flos-aquae,5/30/2005,Cyanobacteria,196.3,3.5,1,Cylinder,2177.673488,1888.627329,196.3,,,,,,,
Aphanizomenon.flos-aquae,10/23/2006,Cyanobacteria,139,4.5,1,Cylinder,1996.87483,2210.69948,139,,,,,,,
Aphanizomenon.flos-aquae,7/11/2005,Cyanobacteria,201.5,4.3,1,Cylinder,2751.076979,2926.185426,201.5,,,,,,,
Aphanizomenon.flos-aquae,9/1/2008,Cyanobacteria,90,4.2,1,Cylinder,1215.23087,1246.898124,90,,,,,,,
Aphanizomenon.flos-aquae,6/23/2008,Cyanobacteria,146.4,3.3,1,Cylinder,1534.872215,1252.15715,146.4,,,,,,,
Aphanizomenon.flos-aquae,11/23/2009,Cyanobacteria,135,4,1,Cylinder,1721.592774,1696.460033,135,,,,,,,
Aphanizomenon.flos-aquae,8/15/2005,Cyanobacteria,127.8,4.8,1,Cylinder,1963.369745,2312.614317,127.8,,,,,,,
Aphanizomenon.flos-aquae,10/11/2004,Cyanobacteria,95.5,4,1,Cylinder,1225.221135,1200.088394,95.5,,,,,,,
Aphanizomenon.flos-aquae,7/6/2015,Cyanobacteria,137.5,3.5,1,Cylinder,1531.13372,1322.905031,137.5,,,,,,,
Aphanizomenon.flos-aquae,7/24/2006,Cyanobacteria,120.5,4,1,Cylinder,1539.3804,1514.247659,120.5,,,,,,,
Aphanizomenon.flos-aquae,9/12/2016,Cyanobacteria,209.1,4.6,1,Cylinder,3055.01036,3475.038156,209.1,,,,,,,
Aphanizomenon.flos-aquae,7/10/2006,Cyanobacteria,139.5,4.5,1,Cylinder,2003.943414,2218.651637,139.5,,,,,,,
Aphanizomenon.flos-aquae,9/27/2004,Cyanobacteria,94.5,4,1,Cylinder,1212.654764,1187.522023,94.5,,,,,,,
Aphanizomenon.flos-aquae,9/22/2008,Cyanobacteria,152.9,3.5,1,Cylinder,1700.465564,1471.070395,152.9,,,,,,,
Aphanizomenon.flos-aquae,11/20/2006,Cyanobacteria,114,4.7,1,Cylinder,1717.964235,1977.836779,114,,,,,,,
Aphanizomenon.flos-aquae,8/13/2007,Cyanobacteria,71,4,1,Cylinder,917.3450548,892.2123136,71,,,,,,,
Aphanizomenon.flos-aquae,9/17/2007,Cyanobacteria,95,3.5,1,Cylinder,1063.821812,914.0071127,95,,,,,,,
Aphanizomenon.flos-aquae,8/15/2016,Cyanobacteria,101.7,4.3,1,Cylinder,1402.893907,1476.888625,101.7,,,,,,,
Aphanizomenon.flos-aquae,8/14/2006,Cyanobacteria,107.4,4,1,Cylinder,1374.760945,1349.628204,107.4,,,,,,,
Aphanizomenon.flos-aquae,11/7/2005,Cyanobacteria,71.5,4.4,1,Cylinder,1018.755666,1087.179554,71.5,,,,,,,
Aphanizomenon.flos-aquae,8/22/2005,Cyanobacteria,123,4.7,1,Cylinder,1850.853604,2133.981788,123,,,,,,,
Aphanizomenon.flos-aquae,7/17/2006,Cyanobacteria,94,4,1,Cylinder,1206.371579,1181.238838,94,,,,,,,
Aphanizomenon.flos-aquae,8/3/2009,Cyanobacteria,110,3.5,1,Cylinder,1228.755427,1058.324025,110,,,,,,,
Aphanizomenon.flos-aquae,8/10/2015,Cyanobacteria,159.6,4,1,Cylinder,2030.725491,2005.59275,159.6,,,,,,,
Aphanizomenon.flos-aquae,6/19/2006,Cyanobacteria,181.3,4,1,Cylinder,2303.415734,2278.282992,181.3,,,,,,,
Aphanizomenon.flos-aquae,10/19/2009,Cyanobacteria,137.5,4,1,Cylinder,1753.008701,1727.875959,137.5,,,,,,,
Aphanizomenon.flos-aquae,9/20/2004,Cyanobacteria,107.4,4.5,1,Cylinder,1550.140355,1708.123196,107.4,,,,,,,
Aphanizomenon.flos-aquae,9/12/2011,Cyanobacteria,181.3,5,1,Cylinder,2887.123649,3559.817176,181.3,,,,,,,
Aphanizomenon.flos-aquae,8/4/2008,Cyanobacteria,77.4,4,1,Cylinder,997.7698268,972.6370856,77.4,,,,,,,
Aphanizomenon.flos-aquae,6/6/2016,Cyanobacteria,154,4.1,1,Cylinder,2010.006688,2033.191642,154,,,,,,,
Aphanizomenon.flos-aquae,10/10/2011,Cyanobacteria,152.3,5,1,Cylinder,2431.592714,2990.403507,152.3,,,,,,,
Aphanizomenon.flos-aquae,8/19/2013,Cyanobacteria,116.4,4.5,1,Cylinder,1677.374858,1851.262011,116.4,,,,,,,
Aphanizomenon.flos-aquae,9/26/2005,Cyanobacteria,101,4.4,1,Cylinder,1426.534392,1535.736153,101,,,,,,,
Aphanizomenon.flos-aquae,8/17/2009,Cyanobacteria,97.4,4,1,Cylinder,1249.097239,1223.964498,97.4,,,,,,,
Aphanizomenon.flos-aquae,10/4/2005,Cyanobacteria,137.7,3.8,1,Cylinder,1666.552071,1561.676283,137.7,,,,,,,
Aphanizomenon.flos-aquae,8/27/2012,Cyanobacteria,125.8,4,1,Cylinder,1605.982165,1580.849423,125.8,,,,,,,
Aphanizomenon.flos-aquae,7/23/2012,Cyanobacteria,90,4.5,1,Cylinder,1304.15365,1431.388153,90,,,,,,,
Aphanizomenon.flos-aquae,11/10/2008,Cyanobacteria,84.2,4,1,Cylinder,1083.221147,1058.088406,84.2,,,,,,,
