,Taxa.name,Class,Order,Motile,Heterotrophic,Mixotrophic,Autotrophic,Small.Large,Filament,Colonial,Geometrical.shape.of.the.cell,Gelatinous,Diatom,Cyanobacteria,Centric,aerotopes,size,genus,species
17,Anabaena spiroides,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,spiroides
18,Anabaena spiroides f. minima,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Anabaena,spiroides
19,Aphanizomenon flos-aquae,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Aphanizomenon,flos-aquae
20,Aphanizomenon flos-aquae var. gracile,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Aphanizomenon,flos-aquae
21,Aphanizomenon issatschenkoi,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,trel,1,0,1,0,0,large,Aphanizomenon,issatschenkoi
22,Aphanocapsa,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,
23,Aphanocapsa musicola,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,1,0,1,0,0,large,Aphanocapsa,musicola
24,Aphanocapsa conferta erreur,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,conferta
25,Aphanocapsa conferta,Cyanobacteria,Chroococcales,0,NA,NA,NA,Microphytoplancton,0,0,trel,0,0,1,0,0,large,Aphanocapsa,conferta
26,Aphanocapsa delicatissima,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,1,0,1,0,0,large,Aphanocapsa,delicatissima
27,Aphanocapsa delicatissima colonie 10 µm erreur,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Aphanocapsa,delicatissima
28,Aphanocapsa delicatissima colonie 10 µm,Cyanobacteria,Chroococcales,0,NA,NA,NA,Nanophytoplancton,0,0,trel,0,0,1,0,0,small,Aphanocapsa,delicatissima
29,Aphanocapsa delicatissima (cellules isolées),Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,1,0,0,small,Aphanocapsa,delicatissima
30,Aphanocapsa elachista,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Aphanocapsa,elachista
31,Aphanocapsa elachista colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Aphanocapsa,elachista
32,Aphanocapsa elachista var. conferta,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,elachista
33,Aphanocapsa grevillei,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,1,0,1,0,0,large,Aphanocapsa,grevillei
34,Aphanocapsa grevillei (cellules isolées),Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,1,0,0,small,Aphanocapsa,grevillei
35,Aphanocapsa holsatica,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,holsatica
36,Aphanocapsa holsatica colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Aphanocapsa,holsatica
37,Aphanocapsa holsatica (cellules isolées),Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,1,0,0,small,Aphanocapsa,holsatica
38,Aphanocapsa incerta,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,incerta
39,Aphanocapsa incerta (50 cellules),Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,incerta
40,Aphanocapsa nubilum colonie 20 µm,Cyanobacteria,Chroococcales,0,NA,NA,NA,Microphytoplancton,0,0,sphe,0,0,1,0,0,large,Aphanocapsa,nubilum
41,Aphanocapsa parasitica f. dinobryonis,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,parasitica
42,Aphanocapsa parasitica f. dinobryonis cellule isolée,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,1,0,0,small,Aphanocapsa,parasitica
43,Aphanocapsa planctonica,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,planctonica
44,Aphanocapsa planctonica colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Aphanocapsa,planctonica
45,Aphanocapsa planctonica colonie 50 µm,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,planctonica
46,Aphanocapsa sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanocapsa,
47,Aphanothece clathrata,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,1,0,1,0,0,large,Aphanothece,clathrata
48,Aphanothece clathrata var. rosea,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,1,0,1,0,0,large,Aphanothece,clathrata
49,Aphanothece clathrata var. rosea colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Aphanothece,clathrata
50,Aphanothece elabens,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Aphanothece,elabens
51,Aphanothece nidulans colonie 10 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Aphanothece,nidulans
52,Aphanothece saxicola,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Aphanothece,saxicola
53,Aphanothece sp. (cellules isolées),Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,tub,0,0,1,1,0,small,Aphanothece,
54,Aphanothece sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,1,0,1,0,0,large,Aphanothece,
55,Aphanothece sp. 1,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Aphanothece,
56,Aphanothecoidea sp. erreur,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,,0,0,1,0,0,small,Aphanothecoidea,
57,Calothrix sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Calothrix,
58,cf Mantellum sp.,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,1,0,0,small,Mantellum,
59,Chlorococcales sp.,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,1,0,0,small,Chlorococcales,
60,Chrooccocus distans (4 cellules),Cyanobacteria,Chroococcales,0,NA,NA,NA,Nanophytoplancton,0,0,sphe,0,0,1,0,0,small,Chrooccocus,distans
61,Chroococcus limneticus,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,1,0,1,0,0,large,Chroococcus,limneticus
62,Chroococcus minimus,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,1,0,0,small,Chroococcus,minimus
63,Chroococcus minutus erreur,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,,0,0,1,0,0,large,Chroococcus,minutus
64,Chroococcus minutus,Cyanobacteria,Chroococcales,0,NA,NA,NA,Microphytoplancton,0,0,ell,0,0,1,0,0,large,Chroococcus,minutus
65,Chroococcus microscopicus,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Chroococcus,microscopicus
66,Chroococcus obliteratus,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,1,0,0,small,Chroococcus,obliteratus
67,Chroococcus prescottii,Cyanobacteria,Chroococcales,0,NA,NA,NA,Microphytoplancton,0,0,sphe,0,0,1,0,0,large,Chroococcus,prescottii
68,Chroococcus sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,1,0,1,0,0,large,Chroococcus,
69,Chroococcus turgidus (8 cellules),Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,1,0,1,0,0,large,Chroococcus,turgidus
70,Chroococcus turgidus (4 cellules),Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,1,0,1,0,0,large,Chroococcus,turgidus
71,Chroococcus varius,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,0,0,1,0,0,large,Chroococcus,varius
72,Coelosphaerium kutzingii,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Coelosphaerium,kutzingii
73,"Cyanobactéries indéterminées Ø < 2,5µm",Cyanobacteria,,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,1,0,0,small,Cyanobacteries,indeterminees
74,"Cyanobactéries indéterminées Ø > 2,5µm",Cyanobacteria,,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,1,0,0,small,Cyanobacteries,indeterminees
75,Cyanobium sp.,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,1,0,0,small,Cyanobium,
76,Cyanodictyon planctonicum,Cyanobacteria,Synechococcales,0,0,0,1,Microphytoplancton,0,1,trel,1,0,1,0,0,large,Cyanodictyon,planctonicum
77,Cyanosarcina chroococcoides,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,0,0,1,0,0,large,Cyanosarcina,chroococcoides
78,Cylindrospermum Bourget03,Cyanobacteria,Nostocales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Cylindrospermum,Bourget03
79,Geitlerinema acutissimum,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,ell,1,0,1,0,0,large,Geitlerinema,acutissimum
80,Geitlerinema amphibium,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Geitlerinema,amphibium
81,Gloeocapsa granosa,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,1,0,1,small,Gloeocapsa,granosa
82,Gloeocapsopsis sp.,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,1,0,0,small,Gloeocapsopsis,
83,Gomphosphaeria pusilla,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Gomphosphaeria,pusilla
84,Gomphosphaeria compacta,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,1,0,1,0,0,large,Gomphosphaeria,compacta
85,Gomphosphaeria lacustris,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Gomphosphaeria,lacustris
86,Gomphosphaeria rosea,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Gomphosphaeria,rosea
87,Gomphosphaeria sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Gomphosphaeria,
88,Jaaginema geminatum,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Jaaginema,geminatum
89,Komvophoron cf. skujae,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,ell,1,0,1,0,0,large,Komvophoron,cf.
90,Komvophoron constrictum,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,ell,1,0,1,0,0,large,Komvophoron,constrictum
91,Komvophoron schmidlei,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,ell,0,0,1,0,0,large,Komvophoron,schmidlei
92,Komvophoron sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,ell,1,0,1,0,0,large,Komvophoron,
93,Komvophoron sp. 3 µm,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,ell,1,0,1,0,0,large,Komvophoron,
94,Lemmermanniella parva,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Lemmermanniella,parva
95,Lemmermanniella sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Lemmermanniella,
96,Leptolyngbya lagerheimii,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,0,0,1,1,0,large,Leptolyngbya,lagerheimii
97,Leptolyngbya sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Leptolyngbya,
98,Leptolyngbya sp. 1,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Leptolyngbya,
99,Leptolyngbya sp. 2,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Leptolyngbya,
100,Leptolyngbya valderiana,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Leptolyngbya,valderiana
101,Limnothrix guttulata,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Limnothrix,guttulata
102,Limnothrix obliqueacuminata,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Limnothrix,obliqueacuminata
103,Limnothrix planctonica,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Limnothrix,planctonica
104,Limnothrix redeckei,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Limnothrix,redeckei
105,Limnothrix sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Limnothrix,
106,Limnotrix cf. planctonica,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Limnotrix,cf.
107,Lyngbya sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Lyngbya,
108,Lyngbya sp. 116,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Lyngbya,
109,Lyngbya truncicola,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Lyngbya,truncicola
110,Merismopedia cf. hyalina,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,1,0,1,0,0,large,Merismopedia,cf.
111,Merismopedia cf. minima,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Merismopedia,cf.
112,Merismopedia cf. punctata,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,1,0,0,small,Merismopedia,cf.
113,Merismopedia duplex,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,ell,0,0,1,0,0,small,Merismopedia,duplex
114,Merismopedia elegans,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Merismopedia,elegans
115,Merismopedia glauca,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Merismopedia,glauca
116,Merismopedia punctata,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Merismopedia,punctata
117,Merismopedia sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Merismopedia,
118,Merismopedia tenuissima,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,0,0,1,0,0,large,Merismopedia,tenuissima
119,Microcystis aeruginosa,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,1,0,1,0,1,large,Microcystis,aeruginosa
120,Microcystis aeruginosa (cellules isolées),Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,1,0,1,small,Microcystis,aeruginosa
121,Microcystis cf. flos-aquae,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,1,0,1,0,1,large,Microcystis,cf.
122,Microcystis ichthyoblabe,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,0,0,1,0,1,large,Microcystis,ichthyoblabe
123,Microcystis sp.,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,1,0,1,0,1,large,Microcystis,
124,Microcystis wesenbergii,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,sphe,0,0,1,0,1,large,Microcystis,wesenbergii
125,Oscillatoria bourrellyi,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Oscillatoria,bourrellyi
126,Oscillatoria cf. janus,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Oscillatoria,cf.
127,Oscillatoria cf. limnetica,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Oscillatoria,cf.
128,Oscillatoria cf. major,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Oscillatoria,cf.
129,Oscillatoria cf. tenuis,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Oscillatoria,cf.
130,Oscillatoria limosa,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Oscillatoria,limosa
131,Oscillatoria sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Oscillatoria,
132,Pannus spumosus,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,ell,1,0,1,0,0,large,Pannus,spumosus
133,Phormidium amoenum,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,ell,1,0,1,0,0,large,Phormidium,amoenum
134,Phormidium sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Phormidium,
135,Planktolyngbya limnetica,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Planktolyngbya,limnetica
136,Planktolyngbya sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Planktolyngbya,
137,Planktothrix agardhii,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Planktothrix,agardhii
138,Planktothrix rubescens,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Planktothrix,rubescens
139,Planktothrix sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Planktothrix,
140,Pseudanabaena acicularis,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Pseudanabaena,acicularis
141,Pseudanabaena arcuata,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,0,0,1,1,0,large,Pseudanabaena,arcuata
142,Pseudanabaena articulata,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Pseudanabaena,articulata
143,Pseudanabaena catenata,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Pseudanabaena,catenata
144,Pseudanabaena catenata filament 20 µm,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,0,0,1,1,0,large,Pseudanabaena,catenata
145,Pseudanabaena cf. tenuis,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Pseudanabaena,cf.
146,Pseudanabaena galeata,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Pseudanabaena,galeata
147,Pseudanabaena limnetica,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Pseudanabaena,limnetica
148,Pseudanabaena minuta,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Pseudanabaena,minuta
149,Pseudanabaena mucicola,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,0,0,1,1,0,large,Pseudanabaena,mucicola
150,Pseudanabaena sp.,Cyanobacteria,Oscillatoriales,0,0,0,1,Microphytoplancton,1,1,tub,1,0,1,1,0,large,Pseudanabaena,
151,Radiococaccés,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,1,1,ell,1,0,1,0,0,large,Radiococacces,
152,Radiocystis aphaniticoïdea,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,1,1,ell,0,0,1,0,1,large,Radiocystis,aphaniticoidea
153,Radiocystis geminata,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,1,1,ell,0,0,1,0,1,large,Radiocystis,geminata
154,Rhabdoderma lineare,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Rhabdoderma,lineare
155,Rhabdoderma tenuissimum,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,tub,0,0,1,1,0,large,Rhabdoderma,tenuissimum
156,Romeria chlorina,Cyanobacteria,Pseudanabaenales,0,0,0,1,Nanophytoplancton,1,1,tub,0,0,1,1,0,small,Romeria,chlorina
157,Romeria gracilis,Cyanobacteria,Pseudanabaenales,0,0,0,1,Microphytoplancton,1,1,tub,0,0,1,1,0,large,Romeria,gracilis
158,Snowella arachnoidea,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,1,1,sphe,0,0,1,0,0,small,Snowella,arachnoidea
159,Snowella lacustris,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,1,1,trel,0,0,1,0,0,large,Snowella,lacustris
160,Snowella rosea,Cyanobacteria,Chroococcales,0,0,0,1,Microphytoplancton,0,1,trel,0,0,1,0,0,large,Snowella,rosea
161,Snowella septentrionalis,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,sphe,0,0,1,0,0,small,Snowella,septentrionalis
162,Snowella sp.,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,1,trel,0,0,1,0,0,small,Snowella,
163,Synechococcus ambiguus,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,trel,0,0,1,0,0,small,Synechococcus,ambiguus
164,Synechococcus elongatus,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,tub,0,0,1,1,0,small,Synechococcus,elongatus
165,Synechococcus nidulans,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,trel,0,0,1,0,0,small,Synechococcus,nidulans
166,Synechococcus sp.,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,trel,0,0,1,0,0,small,Synechococcus,
167,Synechocystis aquatilis,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,sphe,0,0,1,0,0,small,Synechocystis,aquatilis
168,Synechocystis parvula,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,ell,0,0,1,0,0,small,Synechocystis,parvula
169,Synechocystis septentrionalis,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,sphe,0,0,1,0,0,small,Synechocystis,septentrionalis
170,Synechocystis sp. 2 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,sphe,0,0,1,0,0,small,Synechocystis,
171,Synechocystis sp. 4 µm,Cyanobacteria,Chroococcales,0,0,0,1,Nanophytoplancton,0,0,sphe,0,0,1,0,0,small,Synechocystis,
