"phyto_name","genus","species","exact.match","accepted","synonyms","orig.name","match.name","Empire","Kingdom","Phylum","Class","Order","Family"
"Cyano spiral",NA,NA,"0","0",NA,"Cyano spiral","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Gomphosphaeria","Gomphosphaeria","","1","0","Coelosphaerium,,Woronichinia,Snowella","Gomphosphaeria","Gomphosphaeria","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Gomphosphaeriaceae"
"Lyngbya curvy thin",NA,NA,"0","0",NA,"Lyngbya curvy+thin",NA,NA,NA,NA,NA,NA,NA
"Merismopedia","Merismopedia","","1","0","Eucapsis","Merismopedia","Merismopedia","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Merismopedia tenuissima","Merismopedia","tenuissima","1","1","","Merismopedia tenuissima","Merismopedia tenuissima","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Pseudanabaena","Pseudanabaena","","1","0","Arthronema,Komvophoron,Johanseninema","Pseudanabaena","Pseudanabaena","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Pseudanabaenaceae"
"Raphidiopsis","Raphidiopsis","","1","1","","Raphidiopsis","Raphidiopsis","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae"
"Planktolyngbya","Planktolyngbya","","1","0","Limnolyngbya","Planktolyngbya","Planktolyngbya","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Leptolyngbyaceae"
"BG indiv",NA,NA,"0","0",NA,"BG indiv",NA,NA,NA,NA,NA,NA,NA
"Microcystis aeruginosa","Microcystis","aeruginosa","1","1","","Microcystis aeruginosa","Microcystis aeruginosa","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae"
"Oscillatoria thick",NA,NA,"0","0",NA,"Oscillatoria thick","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Dinobryon","Dinobryon","","1","1","","Dinobryon","Dinobryon","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Dinobryaceae"
"Mallomonas","Mallomonas","","1","1","","Mallomonas","Mallomonas","Eukaryota","Chromista","Ochrophyta","Synurophyceae","Synurales","Mallomonadaceae"
"Peridiniopsis kulczynskii","Peridiniopsis","kulczynskii","1","1","","Peridiniopsis kulczynskii","Peridiniopsis kulczynskii","Eukaryota","Chromista","Miozoa","Dinophyceae","Peridiniales","Peridiniopsidaceae"
"Peridiniopsis quadridens","Peridiniopsis","quadridens","1","1","","Peridiniopsis quadridens","Peridiniopsis quadridens","Eukaryota","Chromista","Miozoa","Dinophyceae","Peridiniales","Peridiniopsidaceae"
"Gymnodinium small","Gymnodinium","smaydae","0","1","","Gymnodinium small","Gymnodinium smaydae","Eukaryota","Chromista","Miozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae"
"Peridinium",NA,NA,"0","0",NA,"Peridinium ",NA,NA,NA,NA,NA,NA,NA
"UFO dinoflag",NA,NA,"0","0",NA,"UFO dinoflag",NA,NA,NA,NA,NA,NA,NA
"Ceratium","Ceratium","","1","0","Tripos,,Neoceratium","Ceratium","Ceratium","Eukaryota","Chromista","Miozoa","Dinophyceae","Gonyaulacales","Ceratiaceae"
"Euglena","Euglena","","1","0","Lepocinclis","Euglena","Euglena","Eukaryota","Protozoa","Euglenozoa","Euglenophyceae","Euglenales [=Euglenida]","Euglenaceae"
"Phacus","Phacus","","1","1","","Phacus","Phacus","Eukaryota","Protozoa","Euglenozoa","Euglenophyceae","Euglenales [=Euglenida]","Phacaceae"
"Strombomonas gibberosa","Strombomonas","gibberosa","1","1","","Strombomonas gibberosa","Strombomonas gibberosa","Eukaryota","Protozoa","Euglenozoa","Euglenophyceae","Euglenales [=Euglenida]","Euglenaceae"
"Trachelomonas","Trachelomonas","","1","1","","Trachelomonas","Trachelomonas","Eukaryota","Protozoa","Euglenozoa","Euglenophyceae","Euglenales [=Euglenida]","Euglenaceae"
"Actinastrum hantzschii","Actinastrum","hantzschii","1","1","","Actinastrum hantzschii","Actinastrum hantzschii","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae"
"Monoraphidium griffithii","Monoraphidium","griffithii","1","1","","Monoraphidium griffithii","Monoraphidium griffithii","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Monoraphidium contortum","Monoraphidium","contortum","1","1","","Monoraphidium contortum","Monoraphidium contortum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Carteria","Carteria","","1","0","Pyramichlamys,Tetraselmis","Carteria","Carteria","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae"
"Chlamydomonas globosa","Chlamydomonas","globosa","1","1","","Chlamydomonas globosa","Chlamydomonas globosa","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae"
"Chlamydomonas gracilis","Chlamydomonas","gracilis","1","1","","Chlamydomonas gracilis","Chlamydomonas gracilis","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae"
"Chlorella","Chlorella","","1","0","Chloroidium,Cyanidium,Schizochlamydella","Chlorella","Chlorella","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae"
"Chlorogonium spirales","Chlorogonium","spirales","1","1","","Chlorogonium spirales","Chlorogonium spirales","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Haematococcaceae"
"Closteriopsis longissima","Closteriopsis","longissima","1","1","","Closteriopsis longissima","Closteriopsis longissima","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae"
"Coelastrum sphaericum","Coelastrum","sphaericum","1","1","","Coelastrum sphaericum","Coelastrum sphaericum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Cosmarium medium",NA,NA,"0","0",NA,"Cosmarium medium","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Cosmarium small",NA,NA,"0","0",NA,"Cosmarium small","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Crucigenia tetrapedia","Crucigenia","tetrapedia","1","1","","Crucigenia tetrapedia","Crucigenia tetrapedia","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Trebouxiophyceae ordo incertae sedis","Trebouxiophyceae incertae sedis"
"Crucigeniella","Crucigeniella","","1","0","Willea,Crucigeniopsis,,Crucigenia,Lemmermannia","Crucigeniella","Crucigeniella","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae"
"Dictyosphaerium ehrenbergianum","Dictyosphaerium","ehrenbergianum","1","1","","Dictyosphaerium ehrenbergianum","Dictyosphaerium ehrenbergianum","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae"
"Franceia","Franceia","","1","0","Dicellula","Franceia","Franceia","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae"
"Golenkinia","Golenkinia","","1","0","Franceia,Micractinium,Golenkiniopsis,Hegewaldia,Siderocystopsis","Golenkinia","Golenkinia","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Neochloridaceae"
"Gonium pectorale","Gonium","pectorale","1","1","","Gonium pectorale","Gonium pectorale","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Goniaceae"
"Kirchneriella","Kirchneriella","","1","0","Selenoderma,Raphidocelis,Selenastrum,Pseudokirchneriella","Kirchneriella","Kirchneriella","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Lagerheimia quadriseta","Lagerheimia","quadriseta","1","1","","Lagerheimia quadriseta","Lagerheimia quadriseta","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae"
"Lagerheimia subsalsa","Lagerheimia","subsalsa","1","1","","Lagerheimia subsalsa","Lagerheimia subsalsa","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae"
"Micractinium pusillum","Micractinium","pusillum","1","1","","Micractinium pusillum","Micractinium pusillum","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae"
"Monoraphidium","Monoraphidium","","1","0","Ankistrodesmus,Chlorolobion","Monoraphidium","Monoraphidium","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Oocystis large","Oocystis","borgei nivicola","0","1","","Oocystis large","Oocystis borgei nivicola","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae"
"Oocystis medium",NA,NA,"0","0",NA,"Oocystis medium","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Oocystis pusilla","Oocystis","pusilla","1","1","","Oocystis pusilla","Oocystis pusilla","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae"
"Pediastrum duplex",NA,NA,"0","0",NA,"Pediastrum duplex","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Desmodesmus abundans","Desmodesmus","abundans","1","1","","Desmodesmus abundans","Desmodesmus abundans","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Tetradesmus obliquus","Tetradesmus","obliquus","1","1","","Tetradesmus obliquus","Tetradesmus obliquus","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Desmodesmus denticulatus","Desmodesmus","denticulatus","1","1","","Desmodesmus denticulatus","Desmodesmus denticulatus","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Tetradesmus dimorphus","Tetradesmus","dimorphus","1","1","","Tetradesmus dimorphus","Tetradesmus dimorphus","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Scenedesmus eyeball",NA,NA,"0","0",NA,"Scenedesmus eyeball","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Scenedesmus long thin",NA,NA,"0","0",NA,"Scenedesmus long thin","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Desmodesmus opoliensis","Desmodesmus","opoliensis","1","1","","Desmodesmus opoliensis","Desmodesmus opoliensis","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Scenedesmus quadricauda","Scenedesmus","communis","1","0","Scenedesmus communis","Scenedesmus quadricauda","Scenedesmus communis","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Scenedesmus semipulcher","Scenedesmus","semipulcher","1","1","","Scenedesmus semipulcher","Scenedesmus semipulcher","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Scenedesmus wide no spine",NA,NA,"0","0",NA,"Scenedesmus wide no","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Schroederia setigera","Schroederia","setigera","1","1","","Schroederia setigera","Schroederia setigera","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Schroederiaceae"
"Selenastrum medium",NA,NA,"0","0",NA,"Selenastrum medium","multiplePartialMatch",NA,NA,NA,NA,NA,NA
"Selenastrum minutum","Monoraphidium","minutum","1","0","Monoraphidium minutum","Selenastrum minutum","Monoraphidium minutum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Staurastrum",NA,NA,"0","0",NA,"Staurastrum ",NA,NA,NA,NA,NA,NA,NA
"Tetraedriella regularis","Tetraedriella","regularis","1","1","","Tetraedriella regularis","Tetraedriella regularis","Eukaryota","Chromista","Ochrophyta","Eustigmatophyceae","Goniochloridales","Goniochloridaceae"
"Tetraedron large triangle",NA,NA,"0","0",NA,"Tetraedron large+triangle",NA,NA,NA,NA,NA,NA,NA
"Tetraedron small triangle",NA,NA,"0","0",NA,"Tetraedron small+triangle",NA,NA,NA,NA,NA,NA,NA
"Tetraedron","Tetraedron","","1","0","Closteridium,Chlorotetra�dron","Tetraedron","Tetraedron","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae"
"Tetrastrum staurogeniaeforme","Tetrastrum","staurogeniaeforme brasiliense","0","1","","Tetrastrum staurogeniaeforme","Tetrastrum staurogeniaeforme brasiliense","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Tetrastrum triangulare","Lemmermannia","triangularis","1","0","Lemmermannia triangularis","Tetrastrum triangulare","Lemmermannia triangularis","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Trebouxiophyceae ordo incertae sedis","Trebouxiophyceae incertae sedis"
"Tetrastrum","Tetrastrum","","1","0","Didymogenes,Willea","Tetrastrum","Tetrastrum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"2 cell",NA,NA,"0","0",NA,"2",NA,NA,NA,NA,NA,NA,NA
"Microflagellate",NA,NA,"0","0",NA,"Microflagellate ",NA,NA,NA,NA,NA,NA,NA
"Eunotia","Eunotia","","1","0","Epithemia","Eunotia","Eunotia","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Eunotiales","Eunotiaceae"
"Fragilaria tenera","Fragilaria","tenera","1","1","","Fragilaria tenera","Fragilaria tenera","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae"
"Lagerheimia genevensis","Lagerheimia","genevensis","1","1","","Lagerheimia genevensis","Lagerheimia genevensis","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae"
"Monoraphidium minutum","Monoraphidium","minutum","1","1","","Monoraphidium minutum","Monoraphidium minutum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Scenedesmus","Scenedesmus","","1","0","Desmodesmus","Scenedesmus","Scenedesmus","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Aphanizomenon","Aphanizomenon","","1","0","Sphaerospermopsis,Cuspidothrix","Aphanizomenon","Aphanizomenon","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae"
"Chroococcus microscopicus","Eucapsis","microscopica","1","0","Eucapsis microscopica","Chroococcus microscopicus","Eucapsis microscopica","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae"
"Chroococcus minimus","Chroococcus","minimus","1","1","","Chroococcus minimus","Chroococcus minimus","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Chroococcaceae"
"Glaucospira","Glaucospira","","1","0","Spirulina","Glaucospira","Glaucospira","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Spirulinales","Spirulinaceae"
"Carteria pseudoglobosa","Carteria","pseudoglobosa","1","1","","Carteria pseudoglobosa","Carteria pseudoglobosa","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae"
"Sphaerocystis","Sphaerocystis","","1","0","Radiococcus,Coenochloris,Coenocystis,Planctococcus","Sphaerocystis","Sphaerocystis","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Sphaerocystidaceae"
"Planktolyngbya limnetica","Planktolyngbya","limnetica","1","1","","Planktolyngbya limnetica","Planktolyngbya limnetica","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Leptolyngbyaceae"
"Snowella","Snowella","","1","1","","Snowella","Snowella","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Coelosphaeriaceae"
"Gymnodinium","Gymnodinium","","1","0","Nusuttodinium,Biecheleria,Chytriodinium","Gymnodinium","Gymnodinium","Eukaryota","Chromista","Miozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae"
"Aulacoseira alpigena","Aulacoseira","alpigena","1","1","","Aulacoseira alpigena","Aulacoseira alpigena","Eukaryota","Chromista","Bacillariophyta","Coscinodiscophyceae","Aulacoseirales","Aulacoseiraceae"
"Aulacoseira","Aulacoseira","","1","0","Melosira,Orthoseira,Alveolophora","Aulacoseira","Aulacoseira","Eukaryota","Chromista","Bacillariophyta","Coscinodiscophyceae","Aulacoseirales","Aulacoseiraceae"
"Nitzschia acicularis","Nitzschia","acicularis","1","1","","Nitzschia acicularis","Nitzschia acicularis","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae"
"Nitzschia fruticosa","Nitzschia","fruticosa","1","1","","Nitzschia fruticosa","Nitzschia fruticosa","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae"
"Nitzschia",NA,NA,"0","0",NA,"Nitzschia ",NA,NA,NA,NA,NA,NA,NA
"Acutodesmus acuminatus","Tetradesmus","lagerheimii","1","0","Tetradesmus lagerheimii","Acutodesmus acuminatus","Tetradesmus lagerheimii","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Lagerheimia","Lagerheimia","","1","0","Franceia","Lagerheimia","Lagerheimia","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae"
"Mucidosphaerium pulchellum","Mucidosphaerium","pulchellum","1","1","","Mucidosphaerium pulchellum","Mucidosphaerium pulchellum","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae"
"Sphaerocystis planctonica","Sphaerocystis","planctonica","1","1","","Sphaerocystis planctonica","Sphaerocystis planctonica","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Sphaerocystidaceae"
"Tetraedron minimum","Tetraedron","minimum","1","1","","Tetraedron minimum","Tetraedron minimum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae"
"Cylindrospermopsis acuminatocrispa","Raphidiopsis","acuminato-crispa","1","0","Raphidiopsis acuminato-crispa","Cylindrospermopsis acuminatocrispa","Raphidiopsis acuminato-crispa","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae"
"Planktothrix","Planktothrix","","1","0","Limnoraphis,Trichodesmium,Oscillatoria,Planktothricoides","Planktothrix","Planktothrix","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Microcoleaceae"
"Rhabdogloea","Rhabdogloea","","1","0","Anathece","Rhabdogloea","Rhabdogloea","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Synechococcaceae"
"Achnanthidium","Achnanthidium","","1","0","Rossithidium,Achnanthepyla,Achnanthes,Psammothidium,Planothidium","Achnanthidium","Achnanthidium","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cocconeidales","Achnanthidiaceae"
"Chlamydomonas","Chlamydomonas","","1","0","Cystomonas,Chlorogonium,Chloromonas,Chlamydonephris","Chlamydomonas","Chlamydomonas","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae"
"Ochromonas variabilis","Ochromonas","variabilis","1","1","","Ochromonas variabilis","Ochromonas variabilis","Eukaryota","Chromista","Ochrophyta","Chrysophyceae","Chromulinales","Chromulinaceae"
"Planktolyngbya microspira","Planktolyngbya","microspira","1","1","","Planktolyngbya microspira","Planktolyngbya microspira","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Leptolyngbyaceae"
"Romeria","Romeria","","1","0","Borzia","Romeria","Romeria","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Leptolyngbyaceae"
"Achnanthidium catenatum","Achnanthidium","catenatum","1","1","","Achnanthidium catenatum","Achnanthidium catenatum","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cocconeidales","Achnanthidiaceae"
"Amphora","Amphora","","1","0","Halamphora","Amphora","Amphora","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiophysales","Catenulaceae"
"Crucigenia crucifera","Willea","crucifera","1","0","Willea crucifera","Crucigenia crucifera","Willea crucifera","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Achnanthidium minutissimum","Achnanthidium","minutissimum","1","1","","Achnanthidium minutissimum","Achnanthidium minutissimum","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Cocconeidales","Achnanthidiaceae"
"Ankistrodesmus arcuatus","Ankistrodesmus","arcuatus","1","1","","Ankistrodesmus arcuatus","Ankistrodesmus arcuatus","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Closteriopsis acicularis","Closteriopsis","acicularis","1","1","","Closteriopsis acicularis","Closteriopsis acicularis","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellaceae"
"Coelastrum","Coelastrum","","1","0","Enallax,Ducellieria,Coelastropsis","Coelastrum","Coelastrum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Anabaenopsis circularis","Anabaenopsis","circularis","1","1","","Anabaenopsis circularis","Anabaenopsis circularis","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Nostocales","Aphanizomenonaceae"
"Kirchneriella irregularis","Kirchneriella","irregularis","1","1","","Kirchneriella irregularis","Kirchneriella irregularis","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Kirchneriella obesa","Kirchneriella","obesa","1","1","","Kirchneriella obesa","Kirchneriella obesa","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Monoraphidium tortile","Monoraphidium","tortile","1","1","","Monoraphidium tortile","Monoraphidium tortile","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae"
"Tetradesmus bernardii","Tetradesmus","bernardii","1","1","","Tetradesmus bernardii","Tetradesmus bernardii","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae"
"Tetraedron caudatum","Tetraedron","caudatum","1","1","","Tetraedron caudatum","Tetraedron caudatum","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae"
"Planktothrix suspensa","Planktothrix","suspensa","1","1","","Planktothrix suspensa","Planktothrix suspensa","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Microcoleaceae"
"Fragilaria","Fragilaria","","1","0","Fragilariforma,Staurosirella,Hannaea","Fragilaria","Fragilaria","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Fragilariales","Fragilariaceae"
"Pseudanabaena limnetica","Pseudanabaena","limnetica","1","1","","Pseudanabaena limnetica","Pseudanabaena limnetica","Prokaryota","Eubacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Pseudanabaenaceae"
"Oocystis","Oocystis","","1","0","Ecdysichlamys,Skujaster","Oocystis","Oocystis","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Chlorellales","Oocystaceae"
