phyto_name,Empire,Kingdom,Phylum,Class,Order,Family,volume.um3,surface.area.um2,Colonial,SAV,MLD,MSV
Woronichinia naegeliana,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,1635.42,6114.8,1,3.738978366,4,14.95591347
Acanthoceras zachariasii,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae,4900,310,0,0.063265306,50,3.163265306
Acanthosphaera,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,795.9245833,534,0,0.670917837,11.5,7.715555128
Achnanthes,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Mastogloiales,Achnanthaceae,270,647,0,2.396296296,30,71.88888889
Achnanthidium catenatum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae,132.3,362,1,2.736205593,13.5,36.93877551
Achnanthidium minutissimum,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae,315,719,0,2.282539683,35,79.88888889
Achroonema articulatum,Prokaryota,Eubacteria,Eubacteria phylum,Eubacteria class,Eubacteria order,Eubacteria family,706.9,956.13,1,1.352567548,100,135.2567548
Actinastrum gracillimum,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,635.85,730,1,1.148069513,45,51.6631281
Actinastrum hantzschii,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,4398.2,279,1,0.063435042,90,5.709153745
Actinotaenium spinospermum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,1492,243,0,0.162868633,19,3.094504021
Amphora,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,4500,401,0,0.089111111,40,3.564444444
Amphora copulata,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,2492.8,347,0,0.139200899,41,5.707236842
Amphora inariensis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,280,583,0,2.082142857,20,41.64285714
Amphora pediculus,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae,135,405,0,3,15,45
Anabaena minderi,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,2123.7,1675.25,1,0.788835523,100,78.88355229
Anabaena oscillarioides,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Eubacteria,Prokaryota,1962.5,1609.25,1,0.82,100,82
Anagnostidinema acutissimum,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Coleofasciculaceae,314.2,634.28,1,2.018714195,100,201.8714195
Anagnostidinema amphibium,Coleofasciculaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Eubacteria,Prokaryota,961.63,1118.23,1,1.162848497,100,116.2848497
Ankistrodesmus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,334.93,338,1,1.009166094,50,50.45830472
Ankistrodesmus arcuatus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,67.52,36,0,0.533175355,32,17.06161137
Ankistrodesmus falcatus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,8706.96,2951.91,1,0.339028777,43.5,14.7477518
Ankistrodesmus fusiformis,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,3349.33,1562.4,1,0.466481356,39.5,18.42601356
Ankyra,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,169,492,0,2.911242604,6,17.46745562
Ankyra judayi,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,117.75,783,0,6.649681529,25,166.2420382
Aphanizomenon flosaquae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,1963,1609.25,1,0.819791136,100,81.9791136
Aphanizomenon gracile,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,961.63,1118.23,1,1.162848497,100,116.2848497
Aphanocapsa,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,6541.67,24400.08,1,3.729946634,100,372.9946634
Aphanocapsa conferta,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,6541.67,24400.08,1,3.729946634,100,372.9946634
Aphanocapsa delicatissima,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,17950.33333,47800.4,1,2.66292548,70,186.4047836
Aphanocapsa elachista,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,314.2,2211.34,1,7.038001273,15,105.5700191
Aphanocapsa incerta,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,15714.5,11967.01,1,0.761526616,35,26.65343154
Aphanocapsa muscicola,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,17950.33,47800.4,1,2.662925974,80,213.0340779
Aphanocapsa parasitica,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,210.2,1763.78,1,8.39096099,50,419.5480495
Aphanocapsa planctonica,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,23445.33,15624.05,1,0.666403501,50,33.32017506
Asterionella formosa,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,260,626,1,2.407692308,130,313
Aulacoseira,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,904.32,644,1,0.712137297,100,71.21372965
Aulacoseira ambigua,Aulacoseiraceae,Aulacoseirales,Coscinodiscophyceae,Bacillariophyta,Chromista,Eukaryota,779,540,1,0.693196406,100,69.31964056
Aulacoseira distans,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,339.12,392,1,1.155933003,100,115.5933003
Aulacoseira granulata,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,1920,836,1,0.435416667,100,43.54166667
Aulacoseira granulata angustissima,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,452.4,590,1,1.304155615,100,130.4155615
Aulacoseira islandica,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,3392.9,133,1,0.039199505,100,3.919950485
Aulacoseira subarctica,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,778.92,584,1,0.749756073,100,74.97560725
Belonastrum berolinense,Eukaryota,Chromista,Bacillariophyta,Bacillariophyta classis incertae sedis,Bacillariophyta ordo incertae sedis,Bacillariophyta familia incertae sedis,2822.4,360,1,0.12755102,72,9.183673469
Bicosoeca,Eukaryota,Chromista,Bigyra,Bikosea,Bicosoecales,Bicosoecaceae,530.1,553,0,1.043199396,25,26.07998491
Bicosoeca campanulata,Eukaryota,Chromista,Bigyra,Bikosea,Bicosoecales,Bicosoecaceae,968.7,778,0,0.803138226,37,29.71611438
Bicosoeca ovata,Eukaryota,Chromista,Bigyra,Bikosea,Bicosoecales,Bicosoecaceae,402,503,0,1.251243781,25,31.28109453
Bicosoeca planctonica,Eukaryota,Chromista,Bigyra,Bikosea,Bicosoecales,Bicosoecaceae,1096.84125,114,0,0.103934822,13.5,1.403120096
Bicosoeca stellata,Eukaryota,Chromista,Bigyra,Bikosea,Bicosoecales,Bicosoecaceae,240.3,268,0,1.115272576,34,37.91926758
Bicosta minor,Eukaryota,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Stephanoecidae,523.6,887,0,1.694041253,10,16.94041253
Biecheleria pseudopalustris,Eukaryota,Chromista,Miozoa,Dinophyceae,Suessiales,Suessiaceae,10995.6,840,0,0.076394194,35,2.673796791
Binuclearia lauterbornii,Eukaryota,Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Binucleariaceae,402,793,1,1.972636816,50,98.6318408
Bitrichia chodatii,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Hibberdiales,Stylococcaceae,294.5,784,0,2.662139219,40,106.4855688
Bitrichia danubiensis,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Hibberdiales,Stylococcaceae,220.8,655,0,2.966485507,60,177.9891304
Bitrichia ollula,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Hibberdiales,Stylococcaceae,268,713,0,2.660447761,45,119.7201493
Botryococcus braunii,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Botryococcaceae,25434,14635.63,1,0.575435637,50,28.77178187
Caloneis,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,840,129,0,0.153571429,40,6.142857143
Calothrix,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,580,739,1,1.274137931,60.4,76.95793103
Carteria,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,955.9,192,0,0.20085783,15,3.012867455
Carteria multifilis,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,6370.6,621,0,0.097479044,23,2.24201802
Characium,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,146.6,32,0,0.218281037,32,6.984993179
Chlamydocapsa,Palmellopsidaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,32708.33,24400.08,0,0.745989783,50,37.29948915
Chlamydomonas,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,3053.6,443,0,0.145074666,18,2.611343987
Chlamydomonas conica,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,1681.2,335,0,0.199262432,19,3.7859862
Chlamydomonas globosa,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,113.1,492,0,4.350132626,6,26.10079576
Chlamydomonas gloeopara,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,169.56,631,0,3.721396556,9,33.492569
Chlamydomonas gloeophila irregularis,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,268.1,713,0,2.659455427,8,21.27564342
Chlamydomonas intermedia,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,4188.8,516,0,0.123185638,20,2.463712758
Chlamydomonas proboscigera,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,4188.8,516,0,0.123185638,20,2.463712758
Chlamydomonas reinhardtii,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,1884,319,0,0.169320594,16,2.709129512
Chlamydomonas zebra,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,1767.1,297,0,0.168071982,15,2.521079735
Chloroidium ellipsoideum,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiophyceae ordo incertae sedis,Trebouxiophyceae incertae sedis,110.9,511,0,4.607754734,7,32.25428314
Chlorotetraedron incus,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Neochloridaceae,1988.13025,543,0,0.273120939,18.5,5.052737365
Chroococcus,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,10240,14848,1,1.45,60,87
Chroococcus distans,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,1350,5400,1,4,19,76
Chroococcus minimus,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,120,575,1,4.791666667,10,47.91666667
Chroococcus minutus,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,3125,3750,1,1.2,25,30
Chroococcus prescottii,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,3110.4,2880,1,0.925925926,24,22.22222222
Chroococcus turgidus,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,72000,31200,1,0.433333333,40,17.33333333
Chroomonas,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hemiselmidaceae,796.4,145,0,0.182069312,13,2.366901055
Chroomonas coerulea,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hemiselmidaceae,109.9,512,0,4.65878071,7,32.61146497
Chrysastrella furcata,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chrysosphaeraceae,523.6,887,0,1.694041253,10,16.94041253
Chrysochromulina parva,Eukaryota,Chromista,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae,35,185,0,5.285714286,4.5,23.78571429
Chrysococcus,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista,Eukaryota,904.32,144,0,0.159235669,12,1.910828025
Chrysococcus minutus,Dinobryaceae,Chromulinales,Chrysophyceae,Ochrophyta,Chromista,Eukaryota,241.15,764,0,3.168152602,8,25.34522082
Chrysoikos skujae,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,167.4666667,59,0,0.352308917,20,7.046178343
Chrysolykos angulatus,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,1100,385,0,0.35,20,7
Chrysolykos planctonicus,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,392.5,117,0,0.298089172,17,5.067515924
Closteriopsis longissima,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,1406.458333,837,0,0.595111835,215,127.9490446
Closterium,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,399.67,481,0,1.203492882,19.4,23.3477619
Closterium aciculare,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,7363.1,806,0,0.109464763,500,54.73238174
Closterium acutum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,752.2916667,653,0,0.8680144,115,99.82165605
Closterium acutum latius,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,6234.5,532,0,0.085331622,140,11.94642714
Closterium acutum linea,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,721.6,61,0,0.084534368,100,8.453436807
Closterium acutum variabile,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,938.1,152,0,0.162029634,130,21.06385247
Closterium cornu,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,2500,270,0,0.108,110,11.88
Closterium gracile,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,3887.7,475,0,0.122180209,220,26.87964606
Closterium jenneri,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,173.2,474,0,2.736720554,35,95.7852194
Closterium limneticum,Closteriaceae,Desmidiales,Conjugatophyceae (Zygnematophyceae),Charophyta,Plantae,Eukaryota,3170,384,0,0.121135647,167.5,20.29022082
Closterium nordstedtii,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,15708,815,0,0.05188439,250,12.97109753
Closterium parvulum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,21195,611,0,0.028827554,100,2.882755367
Closterium pronum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Closteriaceae,4415.63,294,0,0.066581666,300,19.97449968
Cocconeis,Cocconeidaceae,Cocconeidales,Bacillariophyceae,Bacillariophyta,Chromista,Eukaryota,742.5,859,0,1.156902357,22,25.45185185
Cocconeis pediculus,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeidales,Cocconeidaceae,742.5,859,0,1.156902357,22,25.45185185
Cocconeis placentula,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeidales,Cocconeidaceae,4593.8,449,0,0.097740433,35,3.420915147
Codosiga,Eukaryota,Protozoa,Choanozoa,Choanoflagellatea,Craspedida,Codonosigaceae,1150.3,201,0,0.174737025,13,2.271581327
Codosiga botrytis,Eukaryota,Protozoa,Choanozoa,Choanoflagellatea,Craspedida,Codonosigaceae,2572.4,396,0,0.153941844,17,2.617011351
Coelastrum,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,904.32,568,1,0.628096249,12,7.537154989
Coelastrum astroideum,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,5787.65,1205.76,1,0.208333261,45,9.37499676
Coelastrum cambricum,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,24834.89,3183.96,1,0.128205118,40,5.128204715
Coelastrum indicum,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,14137.2,1884,1,0.133265427,30,3.997962821
Coelastrum microporum,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,24834.89,3183.96,1,0.128205118,50,6.410255894
Coelastrum pseudomicroporum,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,11304,1884,1,0.166666667,40,6.666666667
Coelastrum sphaericum,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,24834.89,3183.96,1,0.128205118,40,5.128204715
Coelosphaerium kuetzingianum,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae,654.5,24400.08,1,2.16,10.66,23.014
Coenochloris,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,4701.76,3419.46,1,0.727272341,40,29.09089362
Coenochloris fottii,Radiococcaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,883.13,706.5,1,0.799995471,15,11.99993206
Coenochloris pyrenoidosa,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,3532.5,2826,1,0.8,42,33.6
Coenocystis,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,628,1256,1,2,20,40
Coenocystis planctonica hercynica,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,33303.8,5805.86,1,0.174330257,43,7.496201034
Coenocystis subcylindrica,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Radiococcaceae,2441.66,4069.44,1,1.666669397,36,60.00009829
Cosmarium,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,7037.2,180,0,0.025578355,40,1.023134201
Cosmarium abbreviatum,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,366.5,833,0,2.272851296,10,22.72851296
Cosmarium abbreviatum minus,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,366.3333333,833,0,2.273885351,10,22.73885351
Cosmarium baileyi,Eukaryota,Plantae,Charophyta,Conjugatophyceae (Zygnematophyceae),Desmidiales,Desmidiaceae,6361.7,792,0,0.124495025,30,3.734850747
